sample_id,family,runtime_sec,active_measurement_count,reconstructed_voxels,x_size,y_size,z_size,num_freq,voxel_chunk,measurement_chunk,phase_convention,normalization
L_shape_test_0011,L-shape,14.13357545499457,5186,650,10,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0012,L-shape,45.70206051599234,10454,1040,16,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0013,L-shape,53.375667149957735,10483,1190,17,14,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0014,L-shape,14.339507944008801,5766,600,12,10,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0015,L-shape,36.84172107599443,7459,1170,13,18,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0016,L-shape,43.9384297169745,10055,1040,16,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0017,L-shape,40.33130186796188,8018,1170,18,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0018,L-shape,55.94351185898995,13570,975,15,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0019,L-shape,28.382623966026586,11543,585,9,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0000,double-line,20.235330922005232,7368,605,11,11,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0001,double-line,54.34538617101498,10988,1125,15,15,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0002,double-line,22.681879165000282,5534,975,13,15,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0003,double-line,52.0381835619919,8439,1445,17,17,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0004,double-line,56.65978655702202,11515,1170,15,13,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0005,double-line,33.91693364101229,5978,1350,15,15,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0006,double-line,59.94042681297287,11115,1275,15,17,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0007,double-line,24.935090696963016,6982,845,13,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0008,double-line,27.34810722497059,7074,918,17,9,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0009,double-line,43.14023840700975,12153,845,13,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0010,double-line,55.70420411799569,11120,1170,13,15,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0011,double-line,30.040828755008988,6385,1125,15,15,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0012,double-line,23.869237679988146,10790,525,15,7,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0013,double-line,70.39532755600521,9376,1734,17,17,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
double_line_test_0014,double-line,34.8851996390149,7497,1122,11,17,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
small_rect_edge_test_0000,small_rect_edge,8.75494626199361,5152,405,9,9,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
small_rect_edge_test_0001,small_rect_edge,14.687551653012633,5830,605,11,11,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
small_rect_edge_test_0002,small_rect_edge,28.211253399029374,6032,1125,15,15,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
small_rect_edge_test_0003,small_rect_edge,23.746640090015717,6742,845,13,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
small_rect_edge_test_0004,small_rect_edge,22.6405809429707,6460,845,13,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
small_rect_edge_test_0005,small_rect_edge,19.35075015295297,5525,845,13,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
small_rect_edge_test_0006,small_rect_edge,21.73603595996974,6192,845,13,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
small_rect_edge_test_0007,small_rect_edge,26.668046845996287,5676,1125,15,15,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
small_rect_edge_test_0008,small_rect_edge,21.30808533501113,6016,845,13,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
small_rect_edge_test_0009,small_rect_edge,21.56190264498582,6057,845,13,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0000,point_cluster,28.794967484020162,9874,700,10,10,7,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0001,point_cluster,29.25200166000286,6896,1000,10,10,10,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0002,point_cluster,12.819370876008179,5453,567,9,9,7,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0003,point_cluster,13.827326161030214,8420,392,8,7,7,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0004,point_cluster,32.29040468897438,7637,1000,10,10,10,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0005,point_cluster,19.072140105010476,5527,832,13,8,8,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
