variant,seed,family,n,NMSE,PSNR,SSIM
F02_residual_film_gate,1,L-shape,20,1.000746786736818,28.290146080099486,0.3823345922887595
F02_residual_film_gate,1,cross,15,1.0094506934868137,29.932703065103738,0.4716229133263792
F02_residual_film_gate,1,double-line,15,0.9998720170595804,27.399102873068156,0.3351965065186188
F02_residual_film_gate,1,line,20,1.0117795805474628,30.61892850634613,0.5091140345166524
F02_residual_film_gate,1,point_cluster,20,1.0395161943330757,33.82636587695342,0.692240965512593
F02_residual_film_gate,1,small_rect_edge,10,1.0042695368876153,29.570647783811694,0.4528706668734016
F02_residual_film_gate,2,L-shape,20,0.9949308862152119,28.31533423008679,0.3753142280845001
F02_residual_film_gate,2,cross,15,0.9938387610576378,30.00022644270094,0.4701868757749007
F02_residual_film_gate,2,double-line,15,0.9958167398222748,27.41667274086153,0.32613252525475317
F02_residual_film_gate,2,line,20,0.9958341831385485,30.687374523180843,0.507941905064083
F02_residual_film_gate,2,point_cluster,20,0.9989381431964501,33.99795037132326,0.6994432454116769
F02_residual_film_gate,2,small_rect_edge,10,0.9951913082220344,29.610050224946246,0.44924837979138477
F03_reference_surface_gated_film,0,L-shape,20,0.9901920885290403,28.3360747821948,0.38050607971719697
F03_reference_surface_gated_film,0,cross,15,0.9899181274130524,30.017396489229537,0.4745918295985125
F03_reference_surface_gated_film,0,double-line,15,0.9894960818600016,27.444363608341924,0.33281848630631766
F03_reference_surface_gated_film,0,line,20,0.9902900857791279,30.71165616268349,0.5123341602423579
F03_reference_surface_gated_film,0,point_cluster,20,0.996425525240976,34.00895959493441,0.7015787146875947
F03_reference_surface_gated_film,0,small_rect_edge,10,0.9916511008980988,29.625570381156244,0.4534615452912202
F03_reference_surface_gated_film,1,L-shape,20,0.9989231481439533,28.298178899173706,0.3856168554861718
F03_reference_surface_gated_film,1,cross,15,1.008459780930723,29.93707245677693,0.4737596782439081
F03_reference_surface_gated_film,1,double-line,15,0.9994755448064253,27.400906908745377,0.33848256075843003
F03_reference_surface_gated_film,1,line,20,1.0103075726695576,30.625495074063412,0.5097887627244402
F03_reference_surface_gated_film,1,point_cluster,20,1.0545675319684025,33.765075029100714,0.6849105177770164
F03_reference_surface_gated_film,1,small_rect_edge,10,1.0082409557735725,29.553618523246513,0.4517528311855304
F03_reference_surface_gated_film,2,L-shape,20,0.9961707761711638,28.309915460883257,0.376275513769314
F03_reference_surface_gated_film,2,cross,15,0.9956485700037043,29.992317685739415,0.4708266124260587
F03_reference_surface_gated_film,2,double-line,15,0.9964043138657064,27.41410897887941,0.32770029421600416
F03_reference_surface_gated_film,2,line,20,0.9963546567930731,30.685099303625634,0.5088263929796384
F03_reference_surface_gated_film,2,point_cluster,20,0.9984008179143726,34.00029467486724,0.7003089327808818
F03_reference_surface_gated_film,2,small_rect_edge,10,0.9963764534096811,29.604870767954715,0.4501780590605864
F04_dual_path_film,0,L-shape,20,0.9916673917502583,28.32960809912285,0.3789346626024079
F04_dual_path_film,0,cross,15,0.9935322533393953,30.001628188947805,0.4722984173573267
F04_dual_path_film,0,double-line,15,0.9933922739063828,27.4272648898159,0.3296872564689025
F04_dual_path_film,0,line,20,0.9956631888616844,30.688204743278344,0.5093140784175026
F04_dual_path_film,0,point_cluster,20,1.0034883467675546,33.97854449495802,0.700201177236228
F04_dual_path_film,0,small_rect_edge,10,0.9947654719002268,29.611905611923117,0.4513980273463476
F04_dual_path_film,1,L-shape,20,0.9812718734317902,28.375634815681632,0.3962204577193055
F04_dual_path_film,1,cross,15,0.9775641838096972,30.0747007447189,0.49318836560866863
F04_dual_path_film,1,double-line,15,0.9813548001528865,27.48114135199792,0.3525955902055183
