variant,seed,sample_id,family,NMSE,PSNR,SSIM,MAE,runtime_per_sample
F03_reference_surface_gated_film,1,L_shape_test_0006,L-shape,0.9987504231651709,31.166510802724837,0.5429437923713941,0.0021224466618150473,0.002270145996590145
F03_reference_surface_gated_film,1,L_shape_test_0007,L-shape,0.9840563748122324,27.069321348442877,0.32243411430281127,0.003939271438866854,0.002149102001567371
F03_reference_surface_gated_film,1,L_shape_test_0008,L-shape,0.9804664601437215,30.560081055954647,0.51359687312818,0.002335253171622753,0.0021821699920110404
F03_reference_surface_gated_film,1,L_shape_test_0009,L-shape,1.0011953273501153,26.39805153618344,0.2799366575014799,0.004195221234112978,0.002152179993572645
F03_reference_surface_gated_film,1,L_shape_test_0010,L-shape,1.0061966538274552,30.575623408246063,0.5081429807222709,0.0022796865087002516,0.002168428007280454
F03_reference_surface_gated_film,1,L_shape_test_0011,L-shape,1.0118689092893511,33.328601156351596,0.657814043297317,0.0017314213328063488,0.002227042001322843
F03_reference_surface_gated_film,1,L_shape_test_0012,L-shape,0.9941311445579201,26.783902100327644,0.30149251020424933,0.0037221875973045826,0.0022261599951889366
F03_reference_surface_gated_film,1,L_shape_test_0013,L-shape,0.9961541668089455,27.27892777104205,0.32548356027855474,0.0036467069294303656,0.00217295199399814
F03_reference_surface_gated_film,1,L_shape_test_0014,L-shape,1.011547726870478,32.1429342711119,0.5952083669906904,0.0020690620876848698,0.002163077995646745
F03_reference_surface_gated_film,1,L_shape_test_0015,L-shape,0.9932333392907419,25.895110866680454,0.2593399331631209,0.004309574607759714,0.0021667069959221408
F03_reference_surface_gated_film,1,L_shape_test_0016,L-shape,1.0000758581567606,27.410424367312153,0.33074956765441216,0.003516293130815029,0.0021602250053547323
F03_reference_surface_gated_film,1,L_shape_test_0017,L-shape,0.9975388945189918,26.31082301402303,0.2784137614011923,0.0043360646814107895,0.002752745000179857
F03_reference_surface_gated_film,1,L_shape_test_0018,L-shape,0.996743531260793,26.213819327951164,0.27042781540118593,0.004230288323014975,0.0022428590018535033
F03_reference_surface_gated_film,1,L_shape_test_0019,L-shape,1.0323556166111225,33.191715220331936,0.6486857132375718,0.0019555764738470316,0.0021634570002788678
F03_reference_surface_gated_film,1,double_line_test_0000,double-line,0.9965843143872255,26.24742633502994,0.2730764896888322,0.0039102439768612385,0.00215947900142055
F03_reference_surface_gated_film,1,double_line_test_0001,double-line,1.007150358268447,26.606167100813323,0.29584586649579775,0.0045124744065105915,0.0021600109903374687
F03_reference_surface_gated_film,1,double_line_test_0002,double-line,1.0094770095091716,31.204866613878263,0.5432897135811817,0.0020377435721457005,0.0021603669883916155
F03_reference_surface_gated_film,1,double_line_test_0003,double-line,0.9995398485230275,25.62928721636057,0.23895924658595588,0.004664224572479725,0.0022683220013277605
F03_reference_surface_gated_film,1,double_line_test_0004,double-line,0.9756342659535087,26.002252905482358,0.27531641522283895,0.004807152319699526,0.0023657209967495874
F03_reference_surface_gated_film,1,double_line_test_0005,double-line,1.0007034766028462,25.99124364643055,0.25794499330525733,0.004170560277998447,0.0021960000012768432
F03_reference_surface_gated_film,1,double_line_test_0006,double-line,0.9951788186032794,25.323764744228292,0.2409643889578512,0.005210586823523045,0.0021829299948876724
F03_reference_surface_gated_film,1,double_line_test_0007,double-line,1.0187832563742973,31.861588736330194,0.5787462894129316,0.002165143610909581,0.0022561229998245835
F03_reference_surface_gated_film,1,double_line_test_0008,double-line,0.9988377913088805,28.37254430628789,0.3865754210008293,0.0030967325437813997,0.0021607739909086376
F03_reference_surface_gated_film,1,double_line_test_0009,double-line,1.0008364741821683,27.966420764101414,0.36013788058908114,0.0033306721597909927,0.002239599998574704
F03_reference_surface_gated_film,1,double_line_test_0010,double-line,0.9992886391501474,26.343633778359496,0.27677763458807475,0.004054485820233822,0.002171405008994043
F03_reference_surface_gated_film,1,double_line_test_0011,double-line,0.9978471667887375,27.99155778219614,0.3622941513723439,0.003261591074988246,0.0022035750007489696
F03_reference_surface_gated_film,1,double_line_test_0012,double-line,1.0029491989309052,30.635985650851765,0.5115372241500755,0.002305194502696395,0.0021586860093520954
F03_reference_surface_gated_film,1,double_line_test_0013,double-line,0.9952017320320694,25.03328770315667,0.21556580476298928,0.0051606688648462296,0.0021512200037250295
F03_reference_surface_gated_film,1,double_line_test_0014,double-line,0.9941208214816668,25.80357634767383,0.2602068916624108,0.004979794844985008,0.0023296990111703053
F03_reference_surface_gated_film,1,small_rect_edge_test_0000,small_rect_edge,0.9989694865816698,29.893345870061857,0.47115954669526905,0.0023486106656491756,0.002235181993455626
F03_reference_surface_gated_film,1,small_rect_edge_test_0001,small_rect_edge,1.010543730658888,30.75161833572931,0.5171398342118152,0.0022772515658289194,0.0021763520053355023
F03_reference_surface_gated_film,1,small_rect_edge_test_0002,small_rect_edge,1.0016845328123782,27.71452930688527,0.3484535066511177,0.003118641907349229,0.002272550991619937
F03_reference_surface_gated_film,1,small_rect_edge_test_0003,small_rect_edge,1.005446922889126,30.485587199655573,0.5028943975028156,0.0023713093250989914,0.002197303998400457
F03_reference_surface_gated_film,1,small_rect_edge_test_0004,small_rect_edge,1.020762682868394,29.06210938039581,0.4241897613954155,0.00332756363786757,0.0021621339983539656
F03_reference_surface_gated_film,1,small_rect_edge_test_0005,small_rect_edge,1.011800970370288,29.41076710458051,0.45180271132901356,0.00270587345585227,0.002794935993733816
F03_reference_surface_gated_film,1,small_rect_edge_test_0006,small_rect_edge,0.9990440199095533,29.969325310824296,0.4752102160949853,0.0025592457968741655,0.002241912006866187
F03_reference_surface_gated_film,1,small_rect_edge_test_0007,small_rect_edge,1.0049880442472165,29.05607246100795,0.4204762512435769,0.0025421513710170984,0.002177162008592859
F03_reference_surface_gated_film,1,small_rect_edge_test_0008,small_rect_edge,1.026567622615557,28.30830121334664,0.3800406477327496,0.003474740544334054,0.002262820999021642
F03_reference_surface_gated_film,1,small_rect_edge_test_0009,small_rect_edge,1.0026015447826528,30.88452904997789,0.5261614389985454,0.002245265292003751,0.002158324990887195
F03_reference_surface_gated_film,1,point_cluster_test_0000,point_cluster,1.027070909958356,32.802320212653335,0.6764776463697149,0.0019435479771345854,0.0021828219905728474
F03_reference_surface_gated_film,1,point_cluster_test_0001,point_cluster,1.0204322196010693,31.583326692479826,0.564490313732995,0.002405666746199131,0.002288127987412736
F03_reference_surface_gated_film,1,point_cluster_test_0002,point_cluster,1.0756935415585391,35.28875307553435,0.7437873473091798,0.0018176750745624304,0.0021772350009996444
F03_reference_surface_gated_film,1,point_cluster_test_0003,point_cluster,1.0634604440518574,35.59687762356964,0.7580649667531805,0.0016677106032148004,0.002162946999305859
F03_reference_surface_gated_film,1,point_cluster_test_0004,point_cluster,1.0117113418466244,31.367823387559408,0.5544687156830478,0.0025717499665915966,0.0022955080057727173
F03_reference_surface_gated_film,1,point_cluster_test_0005,point_cluster,1.0161440339902037,31.29639873479529,0.5482617077945221,0.002438748488202691,0.0022523809893755242
F03_reference_surface_gated_film,1,point_cluster_test_0006,point_cluster,1.06706850367242,34.786057944921424,0.7515341838441698,0.0017615043325349689,0.0021681780053768307
F03_reference_surface_gated_film,1,point_cluster_test_0007,point_cluster,1.0989087568937501,35.19849674872385,0.7657201962360232,0.0018147232476621866,0.0026591200003167614
F03_reference_surface_gated_film,1,point_cluster_test_0008,point_cluster,1.051363931252283,34.5325109037372,0.712079362105657,0.0019298215629532933,0.002157141992938705
F03_reference_surface_gated_film,1,point_cluster_test_0009,point_cluster,1.0421091506421296,35.90028346101267,0.8122072096582191,0.0015349043533205986,0.0021659129997715354
F03_reference_surface_gated_film,1,point_cluster_test_0010,point_cluster,1.005424294063544,31.259157454596753,0.5483562859202381,0.002495132852345705,0.002182557000196539
F03_reference_surface_gated_film,1,point_cluster_test_0011,point_cluster,1.108560767021244,34.45945324902995,0.704169686007041,0.002164658857509494,0.002154604997485876
F03_reference_surface_gated_film,1,point_cluster_test_0012,point_cluster,1.0196642792546005,33.570174528461536,0.6693940872812287,0.0020558808464556932,0.002170876003219746
F03_reference_surface_gated_film,1,point_cluster_test_0013,point_cluster,1.0646242897351312,32.088652797660004,0.5856062410783285,0.0026059034280478954,0.0022916469897609204
F03_reference_surface_gated_film,1,point_cluster_test_0014,point_cluster,1.0595218462968061,34.01065486812817,0.6871670659854774,0.0018159770406782627,0.002169575003790669
F03_reference_surface_gated_film,1,point_cluster_test_0015,point_cluster,1.0666205211198698,34.11568545107599,0.6921323784904607,0.0019115740433335304,0.0021788779995404184
F03_reference_surface_gated_film,1,point_cluster_test_0016,point_cluster,1.0166563438536242,31.80695538531817,0.6064501724233873,0.0023448208812624216,0.002154820002033375
F03_reference_surface_gated_film,1,point_cluster_test_0017,point_cluster,1.1295972032317902,35.617472721520734,0.8324107304053298,0.0017130998894572258,0.002199483002186753
F03_reference_surface_gated_film,1,point_cluster_test_0018,point_cluster,1.112658620362389,35.272024661092104,0.761863658586034,0.0018615692388266325,0.002440993004711345
F03_reference_surface_gated_film,1,point_cluster_test_0019,point_cluster,1.0340596409618164,34.74842068014396,0.7235683998760936,0.001614093198440969,0.002240689005702734
F03_reference_surface_gated_film,2,line_test_0000,line,0.9978612666719264,30.850312116048517,0.5198936977739325,0.0012389349285513163,0.002173768007196486
F03_reference_surface_gated_film,2,line_test_0001,line,0.9971576673602756,25.92258584761346,0.2463624330707611,0.003304374171420932,0.0021955980046186596
F03_reference_surface_gated_film,2,line_test_0002,line,0.9917549275685135,30.238256531002584,0.48621302897652185,0.001447036280296743,0.002233924009487964
F03_reference_surface_gated_film,2,line_test_0003,line,0.9923919700749961,33.944282724523525,0.6916311126994219,0.0008269839454442263,0.002237010994576849
F03_reference_surface_gated_film,2,line_test_0004,line,0.9974960645110602,36.64929450911703,0.8062950503029899,0.0004378593002911657,0.0022508649999508634
F03_reference_surface_gated_film,2,line_test_0005,line,0.9988460876502737,32.42202524656618,0.6103607898151664,0.0008614002726972103,0.002226092998171225
F03_reference_surface_gated_film,2,line_test_0006,line,0.9987149399938741,31.60462567098613,0.5650161080735393,0.001086064730770886,0.002266940995468758
F03_reference_surface_gated_film,2,line_test_0007,line,0.9949112707435303,29.8110588178138,0.47019829807507824,0.0013394331326708198,0.002240960006020032
F03_reference_surface_gated_film,2,line_test_0008,line,0.9977490811005181,25.830532524724692,0.24194096329553946,0.0030520649161189795,0.002990902998135425
F03_reference_surface_gated_film,2,line_test_0009,line,0.9950123677881669,30.22853510470807,0.48500785569134125,0.0013249272014945745,0.0022653979976894334
F03_reference_surface_gated_film,2,line_test_0010,line,0.9947601002648921,32.44249182777696,0.6119248100582447,0.0009333771886304021,0.0021814529900439084
F03_reference_surface_gated_film,2,line_test_0011,line,0.9987620194735534,27.752269128366635,0.3410431073138064,0.002123613143339753,0.002174441993702203
F03_reference_surface_gated_film,2,line_test_0012,line,0.9958463865729597,29.69999610546366,0.45413421421435746,0.0014908688608556986,0.0021789519960293546
F03_reference_surface_gated_film,2,line_test_0013,line,0.9959011843113772,27.031572932596983,0.3223848284855797,0.0023650627117604017,0.0021614629949908704
F03_reference_surface_gated_film,2,line_test_0014,line,0.998695592842659,34.835629475629005,0.7324942209372846,0.0005649494705721736,0.002228860990726389
F03_reference_surface_gated_film,2,line_test_0015,line,0.9956467475094959,35.40804289627964,0.7579185092184167,0.0005655958666466177,0.002172790002077818
F03_reference_surface_gated_film,2,line_test_0016,line,0.993330701895892,28.232071809400672,0.36977861801371176,0.002071947092190385,0.0021806049917358905
F03_reference_surface_gated_film,2,line_test_0017,line,1.0002775992181347,32.09379750179728,0.5920809708599976,0.0008922933484427631,0.0021593609999399632
F03_reference_surface_gated_film,2,line_test_0018,line,0.995625880765147,29.38764144945427,0.43463605402462313,0.0016548506682738662,0.0021714089962188154
F03_reference_surface_gated_film,2,line_test_0019,line,0.9963512795442195,29.316963852643646,0.4372131886924556,0.0014754834119230509,0.0024484629975631833
F03_reference_surface_gated_film,2,cross_test_0000,cross,0.9950427348283075,32.201947005088684,0.5988543726466323,0.0010890146950259805,0.002276536004501395
F03_reference_surface_gated_film,2,cross_test_0001,cross,0.995157733784614,26.52175507704311,0.2739657726388745,0.0029389518313109875,0.0021668519912054762
F03_reference_surface_gated_film,2,cross_test_0002,cross,0.9973607109856938,30.376465721363687,0.49335875623151254,0.001236316398717463,0.0021783830015920103
F03_reference_surface_gated_film,2,cross_test_0003,cross,0.9932206953190846,27.66244318074868,0.33770641947428226,0.002355266595259309,0.0022222849947866052
F03_reference_surface_gated_film,2,cross_test_0004,cross,0.9942542521690235,27.890714633610457,0.3488277351814404,0.002291377168148756,0.0021660889906343073
F03_reference_surface_gated_film,2,cross_test_0005,cross,0.9958369727872388,31.182829351517434,0.5405071383928344,0.0012231649598106742,0.0022833420080132782
F03_reference_surface_gated_film,2,cross_test_0006,cross,0.9987699726588122,28.72558791482802,0.3948503143788844,0.001772567629814148,0.0022938089969102293
F03_reference_surface_gated_film,2,cross_test_0007,cross,0.9944766510921641,33.9553784566026,0.6911849289819374,0.0007304963073693216,0.0021676580072380602
F03_reference_surface_gated_film,2,cross_test_0008,cross,0.9933800415854559,27.99487978986611,0.35650521737415675,0.00234489724971354,0.0021689959976356477
