variant,seed,bin,n,NMSE,MAE,SSIM
G01_generic_film_scalar_Pcyc,0,medium,100,0.9912717086934721,0.8290272605419159,0.7265087327277436
G01_generic_film_scalar_Pcyc,0,small,100,0.9901556616583765,0.8268310326337814,0.7074929200144554
G01_generic_film_scalar_Pcyc,1,large,100,0.9946765259154862,0.8370283420639809,0.7192022031361676
G01_generic_film_scalar_Pcyc,1,medium,100,0.9940209079753344,0.8302185791730881,0.7258517571885856
G01_generic_film_scalar_Pcyc,1,small,100,0.9929719229460552,0.8280661469697952,0.706796669540239
G01_generic_film_scalar_Pcyc,2,large,100,0.9942457374719968,0.8368810252709822,0.7191882447780159
G01_generic_film_scalar_Pcyc,2,medium,100,0.9939908949973547,0.830190264582634,0.7258608732594525
G01_generic_film_scalar_Pcyc,2,small,100,0.9935903295195394,0.828294734954834,0.706621768397816
R00_rsbfilm_sincos_env_absPcyc,0,large,100,0.9581901032809785,0.8213152909519696,0.7287009055189769
R00_rsbfilm_sincos_env_absPcyc,0,medium,100,0.9532480053178769,0.8129861205816269,0.7361238298968626
R00_rsbfilm_sincos_env_absPcyc,0,small,100,0.9497588403412377,0.8096958500146866,0.7189645731733008
R00_rsbfilm_sincos_env_absPcyc,1,large,100,0.994402649535372,0.8370074099964566,0.7191541808174068
R00_rsbfilm_sincos_env_absPcyc,1,medium,100,0.9939288729879878,0.8302130281925202,0.7257450762185245
R00_rsbfilm_sincos_env_absPcyc,1,small,100,0.994012095994287,0.8285351085662842,0.7065895983671718
R00_rsbfilm_sincos_env_absPcyc,2,large,100,0.9859648975464366,0.8333451362571331,0.7214806993199885
R00_rsbfilm_sincos_env_absPcyc,2,medium,100,0.9841008022375444,0.8260600167512894,0.7283255639452534
R00_rsbfilm_sincos_env_absPcyc,2,small,100,0.9832484404070404,0.8239833950996399,0.7095339535567614
R01_rsbfilm_env_absDelta,0,large,100,0.9903849044021037,0.8352842541656109,0.7200694309510848
R01_rsbfilm_env_absDelta,0,medium,100,0.988555062959507,0.8279503166675568,0.7270655710254995
R01_rsbfilm_env_absDelta,0,small,100,0.987174947877688,0.8256123328208923,0.7084324355176546
R01_rsbfilm_env_absDelta,1,large,100,0.9939162434275509,0.8367670045958625,0.719347086502203
R01_rsbfilm_env_absDelta,1,medium,100,0.9929497893104717,0.8298035907745361,0.7259901725140605
R01_rsbfilm_env_absDelta,1,small,100,0.9932308945238862,0.8281999754905701,0.7067248375533153
R01_rsbfilm_env_absDelta,2,large,100,0.9920648052356464,0.8359751611044912,0.7198644221637162
R01_rsbfilm_env_absDelta,2,medium,100,0.9908734133446652,0.828943412899971,0.7266469290429393
R01_rsbfilm_env_absDelta,2,small,100,0.9898455357018326,0.8267377561330795,0.7077421442389388
R02_rsbfilm_env_maxPcycDelta,0,large,100,0.9911752096212312,0.8356207398453144,0.7199080967025135
R02_rsbfilm_env_maxPcycDelta,0,medium,100,0.9897290690282372,0.8284438079595566,0.7267894798060806
R02_rsbfilm_env_maxPcycDelta,0,small,100,0.9888101547565914,0.8262958353757859,0.707967208841865
R02_rsbfilm_env_maxPcycDelta,1,large,100,0.9932700304483786,0.836527558890256,0.719558564897876
R02_rsbfilm_env_maxPcycDelta,1,medium,100,0.9923431937090195,0.8295239037275315,0.7262862697740633
R02_rsbfilm_env_maxPcycDelta,1,small,100,0.9925623790949438,0.8279283118247985,0.7070326070424846
R02_rsbfilm_env_maxPcycDelta,2,large,100,0.9921043962554315,0.8359760033963907,0.7198857051954107
R02_rsbfilm_env_maxPcycDelta,2,medium,100,0.9909474583502859,0.8289325928688049,0.7266311422598706
R02_rsbfilm_env_maxPcycDelta,2,small,100,0.9881922873082558,0.8260099601745605,0.7081254200252716
R03_rsbfilm_env_avgPcycDelta,0,large,100,0.9876999783976352,0.8341263394163112,0.7207929513753369
R03_rsbfilm_env_avgPcycDelta,0,medium,100,0.985809716426789,0.8268046259880066,0.7277610777866447
R03_rsbfilm_env_avgPcycDelta,0,small,100,0.9842979949355447,0.824371509552002,0.7092634748043761
R03_rsbfilm_env_avgPcycDelta,1,large,100,0.9847447048612601,0.8329648164787677,0.7214353071589401
R03_rsbfilm_env_avgPcycDelta,1,medium,100,0.9852525260718801,0.8264285731315613,0.7281142264316388
R03_rsbfilm_env_avgPcycDelta,1,small,100,0.9840404138937784,0.8243664586544037,0.7092802631382442
