dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Main Test,cross_test_0006,cross,Ours-PC-P1,0.663718231872141,30.500405203557396,0.6196499736204731,0.3108437890186906,6.350523685192754
Main Test,cross_test_0006,cross,Ours-PC-P2A,0.673953662393527,30.433942331747605,0.6120645236385065,0.31008487194776535,6.366066271336137
Main Test,cross_test_0007,cross,Baseline-Ours,0.8184886011207444,34.80119824087919,0.7542154909304464,0.31282114828471097,6.310381684174431
Main Test,cross_test_0007,cross,Ours-PC-P1,0.8301913053562565,34.73954282920143,0.7529303585896443,0.3155309478752315,6.256187730082277
Main Test,cross_test_0007,cross,Ours-PC-P2A,0.8149192848573379,34.82017850023283,0.7570083179606002,0.3156666459981352,6.253498333079876
Main Test,cross_test_0008,cross,Baseline-Ours,0.7433998219935689,29.25380956769645,0.555612775418282,0.27833701935131105,7.092196536267017
Main Test,cross_test_0008,cross,Ours-PC-P1,0.7660972788377273,29.12319501995803,0.5362422937539577,0.2812530971132219,7.018663491423128
Main Test,cross_test_0008,cross,Ours-PC-P2A,0.7733837247147298,29.082083719532037,0.5277333862599198,0.2810080840718001,7.024783116395589
Main Test,cross_test_0009,cross,Baseline-Ours,0.8981053910374331,33.34632648505901,0.701418781706829,0.29352108840364965,6.72531181760809
Main Test,cross_test_0009,cross,Ours-PC-P1,0.9052320645616,33.31200023011146,0.6965805002150017,0.2961917920038104,6.664670993087002
Main Test,cross_test_0009,cross,Ours-PC-P2A,0.8797682694769137,33.43591651268098,0.7012115678357782,0.2971108700148761,6.64405460648214
Main Test,cross_test_0010,cross,Baseline-Ours,0.6879570606582125,33.67190318782802,0.7470663539864596,0.5834394014393911,3.3834205226595744
Main Test,cross_test_0010,cross,Ours-PC-P1,0.7294795053438987,33.41738576089563,0.7249109096581111,0.5865232639480382,3.365630940656325
Main Test,cross_test_0010,cross,Ours-PC-P2A,0.7295562198495396,33.416929076568884,0.7254260203585315,0.5863151720259339,3.366825452831603
Main Test,cross_test_0011,cross,Baseline-Ours,0.7139124832264778,28.77770932232924,0.5474775791321642,0.29694202853832397,6.6478324212817945
Main Test,cross_test_0011,cross,Ours-PC-P1,0.7441424998626311,28.597598170747126,0.5256480118700853,0.3012551972642541,6.5526532404574205
Main Test,cross_test_0011,cross,Ours-PC-P2A,0.7568525546372754,28.52404616598564,0.5105178123910596,0.3005834352225065,6.567297506254752
Main Test,cross_test_0012,cross,Baseline-Ours,0.8590476095968397,32.32643047085487,0.6505125526340078,0.3564175943331793,5.538505606748859
Main Test,cross_test_0012,cross,Ours-PC-P1,0.8833352032194046,32.20534764446363,0.6410018590351136,0.3598988768644631,5.484931939094838
Main Test,cross_test_0012,cross,Ours-PC-P2A,0.865572736006544,32.293567346491365,0.6466932412214833,0.3596659537870437,5.4884840329564835
Main Test,cross_test_0013,cross,Baseline-Ours,0.9276794302585497,31.98826148252141,0.6565811807767409,0.5731976333493367,3.4438747295999077
Main Test,cross_test_0013,cross,Ours-PC-P1,0.9098500275496623,32.07254255408367,0.6518648053200579,0.5774661309551448,3.418418395020275
Main Test,cross_test_0013,cross,Ours-PC-P2A,0.8671413769456509,32.281341381132385,0.6606604826009826,0.5763922589831054,3.424787223966022
Main Test,cross_test_0014,cross,Baseline-Ours,0.6757872155520795,29.405424274923316,0.5712196494278621,0.24860853245016187,7.940277934563579
Main Test,cross_test_0014,cross,Ours-PC-P1,0.6936572781305743,29.292074727608433,0.5601667922192567,0.2519467989914119,7.835070151558234
Main Test,cross_test_0014,cross,Ours-PC-P2A,0.6926427620206895,29.29843096008383,0.5602423527250453,0.251711254240945,7.8424020034823965
Main Test,L_shape_test_0000,L-shape,Baseline-Ours,0.6825317214990932,27.830945877774983,0.5353030969481889,0.32513097752351316,6.071463444037702
Main Test,L_shape_test_0000,L-shape,Ours-PC-P1,0.6954272601210725,27.749656906751273,0.5276973382849935,0.3279444321524352,6.019376000994855
Main Test,L_shape_test_0000,L-shape,Ours-PC-P2A,0.7046479602823257,27.692452122587788,0.5132310565199976,0.3278435782995075,6.021227729386394
Main Test,L_shape_test_0001,L-shape,Baseline-Ours,0.5900710188912967,29.954410629964528,0.6426040115609996,0.4745695782778785,4.1596025849815215
Main Test,L_shape_test_0001,L-shape,Ours-PC-P1,0.5831651825679602,30.00553796561195,0.6496513500585115,0.4773389748297632,4.135469652907063
Main Test,L_shape_test_0001,L-shape,Ours-PC-P2A,0.6158848938390095,29.768457929158416,0.6214962601114752,0.4773877477273345,4.135047147640116
Main Test,L_shape_test_0002,L-shape,Baseline-Ours,0.6141413192817137,29.398237435386374,0.6440097458933982,0.29986819633748385,6.582961676724833
Main Test,L_shape_test_0002,L-shape,Ours-PC-P1,0.6324546807111562,29.27062680511058,0.6299794536842925,0.3026812269818038,6.521781559571006
Main Test,L_shape_test_0002,L-shape,Ours-PC-P2A,0.6532356608920076,29.130221872913964,0.6022115682259055,0.30248303012922406,6.526054845836907
Main Test,L_shape_test_0003,L-shape,Baseline-Ours,0.6811842322129271,29.15565289438263,0.5767069281137587,0.3231196534773335,6.109256503943142
Main Test,L_shape_test_0003,L-shape,Ours-PC-P1,0.6720121238289299,29.214527785729068,0.5845142471018462,0.3261413252912462,6.052654758778089
Main Test,L_shape_test_0003,L-shape,Ours-PC-P2A,0.6893274246303492,29.10404332652429,0.5660197449175155,0.3257148382253945,6.0605800316417655
Main Test,L_shape_test_0004,L-shape,Baseline-Ours,0.6871675690240565,27.40975850693291,0.5397194820983838,0.7643975004041568,2.582453296242515
Main Test,L_shape_test_0004,L-shape,Ours-PC-P1,0.701400899433083,27.32072164468635,0.5287345103361577,0.7672243458218873,2.5729382224485966
Main Test,L_shape_test_0004,L-shape,Ours-PC-P2A,0.7098969495306293,27.268431800470836,0.5111834731444105,0.7674740508664399,2.5721010923166494
Main Test,L_shape_test_0005,L-shape,Baseline-Ours,0.6707999418995586,28.873789351634358,0.5769408831749641,0.291210834258236,6.778665531405876
Main Test,L_shape_test_0005,L-shape,Ours-PC-P1,0.6956059489227383,28.71608672190963,0.5569724696777457,0.2939751949161291,6.714923159151032
Main Test,L_shape_test_0005,L-shape,Ours-PC-P2A,0.7086037747274636,28.635685020728886,0.5407343652645418,0.29399433988146484,6.714485882123297
Main Test,L_shape_test_0006,L-shape,Baseline-Ours,0.8552934324389482,31.839929269495535,0.6404981412492837,0.2732725272374228,7.223634459395175
Main Test,L_shape_test_0006,L-shape,Ours-PC-P1,0.81557574450941,32.04643770913749,0.6590621775083291,0.27592178783379495,7.154276797261588
Main Test,L_shape_test_0006,L-shape,Ours-PC-P2A,0.8203900943815495,32.020876506909126,0.6521163243291586,0.2768273428082466,7.130873794954652
Main Test,L_shape_test_0007,L-shape,Baseline-Ours,0.6746187850170376,28.708937167996645,0.5667398000133884,0.3531524132424966,5.589713592592011
Main Test,L_shape_test_0007,L-shape,Ours-PC-P1,0.6686428209365722,28.747579469585823,0.5747891131738516,0.3557726819999516,5.548545305562619
Main Test,L_shape_test_0007,L-shape,Ours-PC-P2A,0.6974122732082002,28.564625457480012,0.5444175142660294,0.35572422575205564,5.549301120509492
Main Test,L_shape_test_0008,L-shape,Baseline-Ours,0.8947562131919773,30.957361260368252,0.6030726649298461,0.2521607853425667,7.828421226863239
Main Test,L_shape_test_0008,L-shape,Ours-PC-P1,0.8482853364403932,31.18898870776316,0.6155217015220601,0.25564643112011254,7.721683560803487
Main Test,L_shape_test_0008,L-shape,Ours-PC-P2A,0.8518359517536699,31.17084892078916,0.6103001203842165,0.25553804403170943,7.7249587318329
Main Test,L_shape_test_0009,L-shape,Baseline-Ours,0.6241015531600728,28.45068706540248,0.630529950719484,0.671708541312255,2.9388056324277065
Main Test,L_shape_test_0009,L-shape,Ours-PC-P1,0.6390727389119053,28.347736896769227,0.6201022128607294,0.6748148738406599,2.9252776147675252
Main Test,L_shape_test_0009,L-shape,Ours-PC-P2A,0.6490018757453639,28.280780248275622,0.5957861586630537,0.675180773017928,2.923692325737833
Main Test,L_shape_test_0010,L-shape,Baseline-Ours,0.847007027058786,31.323581849780634,0.6177987810306841,0.3516333753662184,5.613860864323117
Main Test,L_shape_test_0010,L-shape,Ours-PC-P1,0.8262185290322875,31.431502832129716,0.6278145615064665,0.355269722873345,5.556400440186117
Main Test,L_shape_test_0010,L-shape,Ours-PC-P2A,0.8314763607590058,31.40395297991561,0.6153901285287615,0.35446610394865274,5.568997493887897
Main Test,L_shape_test_0011,L-shape,Baseline-Ours,0.8740622583675965,33.96441997335223,0.7257462680295044,0.2317897724872455,8.51642772403548
