dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Unseen-Parameter OOD,unseen_param_ood_0079,line,Ours-PC-P1,0.8516297605685419,26.33163288989598,0.36399799072432876,0.42779468186199665,7.623510819679814
Unseen-Parameter OOD,unseen_param_ood_0079,line,Ours-PC-P2A,0.8507339564881952,26.336203170836324,0.36730907995159634,0.42599329096265137,7.6557482358621165
Unseen-Parameter OOD,unseen_param_ood_0080,line,Baseline-Ours,0.6834799517765942,28.518375461351027,0.559751527446378,0.3020539099816233,10.797070582449438
Unseen-Parameter OOD,unseen_param_ood_0080,line,Ours-PC-P1,0.6980599354259118,28.42670614724439,0.550401607559031,0.30307558411732316,10.760673431595002
Unseen-Parameter OOD,unseen_param_ood_0080,line,Ours-PC-P2A,0.7230857037731955,28.273735458774905,0.5243190848161565,0.30020010098814964,10.863745132134898
Unseen-Parameter OOD,unseen_param_ood_0081,line,Baseline-Ours,0.7690894255644971,25.613142407088038,0.4206621229144004,0.7250683940947056,4.4979169032024275
Unseen-Parameter OOD,unseen_param_ood_0081,line,Ours-PC-P1,0.7722551039501534,25.59530293612728,0.4197690515717227,0.7217599281575531,4.518534845930802
Unseen-Parameter OOD,unseen_param_ood_0081,line,Ours-PC-P2A,0.7910996974214466,25.490598574958767,0.39052678670099816,0.7218751918990165,4.517813359393905
Unseen-Parameter OOD,unseen_param_ood_0082,line,Baseline-Ours,0.7087716070776323,28.934998229411647,0.5355009381990791,0.5480195840355009,5.951059927021053
Unseen-Parameter OOD,unseen_param_ood_0082,line,Ours-PC-P1,0.7081584134745892,28.93875680162139,0.5347093674838375,0.5450660118367523,5.9833071865672975
Unseen-Parameter OOD,unseen_param_ood_0082,line,Ours-PC-P2A,0.7034007106556206,28.968033231500428,0.5379928395230109,0.5449115899391472,5.985002789426115
Unseen-Parameter OOD,unseen_param_ood_0083,line,Baseline-Ours,0.7837748554125613,29.895807249392806,0.6108438905100023,0.3323837670031935,9.811843144990537
