dataset,family,baseline_nmse,p1_nmse,p2a_nmse,baseline_psnr,p1_psnr,p2a_psnr,baseline_ssim,p1_ssim,p2a_ssim
Leave-One-Family-Out Focused OOD,point_cluster,0.9948942728796374,0.9733705956769073,0.97826940419541,31.896672958204174,31.99165993826987,31.969857675718465,0.5940867671750597,0.6011777385425513,0.600847044452694
Leave-One-Family-Out Focused OOD,point_cluster,0.9958470524467657,0.9773084737420397,0.9754972866912791,31.53386782289434,31.61547745530607,31.6235332777342,0.5786063654915621,0.5820977160833632,0.5814721362311592
Leave-One-Family-Out Focused OOD,point_cluster,0.9964101383004172,0.9892781447706434,0.9800802715183539,31.594406669978955,31.625603968454826,31.666171575615,0.5755815038478284,0.5769718535977681,0.5802729313370603
Leave-One-Family-Out Focused OOD,point_cluster,0.9964170203951339,0.9870325130979803,0.9727444927388598,31.617851393481203,31.658948151856848,31.722275026878783,0.5866812115027041,0.5867820979251257,0.5905288158741824
Leave-One-Family-Out Focused OOD,point_cluster,0.9989125700355446,0.9796612099320625,0.9748963715820266,31.439925699522036,31.52444106848006,31.545615971673598,0.5743450526382826,0.5835069013569593,0.5823627184638241
Leave-One-Family-Out Focused OOD,point_cluster,1.0009520293508165,0.9799099081233718,0.9443258894722453,32.07707803722103,32.16934957323425,32.32999184968478,0.6305904915819734,0.6284187548664508,0.6363268281481874
Leave-One-Family-Out Focused OOD,point_cluster,1.0018047183937777,0.9745278440791694,0.968678363022578,31.962289864486365,32.082178008806196,32.10832464516289,0.6070652654257405,0.6123525391866897,0.6110844605491421
Leave-One-Family-Out Focused OOD,point_cluster,1.0031139071637523,0.9927775935763286,0.9873318020345696,31.38495212331362,31.429935111848263,31.453823560345437,0.5636245350081409,0.5658894085729422,0.5673591577088866
Leave-One-Family-Out Focused OOD,point_cluster,1.003306078706253,1.0129085890315566,1.011790129543058,32.21201220108829,32.17064408318511,32.17544217553636,0.6093316221953662,0.6096846319238751,0.610708038164147
Leave-One-Family-Out Focused OOD,point_cluster,1.0038031591332781,0.9775761030706297,0.9733568617412943,30.791866352160916,30.906845882166035,30.925630885420045,0.5385573761376705,0.5441197452115251,0.5444368115826493
Leave-One-Family-Out Focused OOD,point_cluster,1.0056372621613083,0.9732295252488714,0.9705904846444044,32.02222213744785,32.164482886211516,32.17627533551176,0.6028446170899527,0.6131025115003867,0.6133596539021281
Leave-One-Family-Out Focused OOD,point_cluster,1.0064567617433184,1.0046677333410772,0.9635134020825112,31.40665151320823,31.414378137093504,31.596025015797807,0.5871965677327625,0.5804803808131456,0.5903214036173515
Leave-One-Family-Out Focused OOD,point_cluster,1.0090749435045632,0.9945567778856994,0.9930046280422001,31.1105211049857,31.173459768763916,31.180242722319914,0.5525255261266413,0.5581171620624832,0.5576228268685741
Leave-One-Family-Out Focused OOD,point_cluster,1.0121816488583435,0.9685269317455744,0.9550961967231331,31.60795120665526,31.799418846267695,31.860064618291013,0.5924781488051539,0.6027724507363778,0.6043407384236774
Leave-One-Family-Out Focused OOD,point_cluster,1.0136527201205037,0.9910659869477698,0.9745430945979958,31.995336397666666,32.09320268930333,32.16621801372347,0.5983358870634615,0.6034304395067652,0.6100309184358483
Leave-One-Family-Out Focused OOD,point_cluster,1.014045640214856,1.0125522474897668,1.0045129309819085,31.402249580946947,31.40865004058403,31.44326946784941,0.5602645784050116,0.562254636722648,0.5655107783998853
Leave-One-Family-Out Focused OOD,point_cluster,1.0150832861466959,1.0040655222662642,0.973635361698556,30.6164186652633,30.663814966368108,30.79747202434076,0.5403982219527168,0.5383632076805682,0.5462065405544995
Leave-One-Family-Out Focused OOD,point_cluster,1.0156613447596214,0.9851053808960449,0.9826227155737062,31.459734800672422,31.592397121091498,31.603356213488155,0.5658516178651642,0.5760935123948413,0.5766319828609502
Leave-One-Family-Out Focused OOD,point_cluster,1.0177139762052796,1.026186226590079,1.0160824125735461,32.03911287096212,32.00310856223113,32.046080949188735,0.6306046654977453,0.6265455211467329,0.6295147155621622
Leave-One-Family-Out Focused OOD,point_cluster,1.0182411629089603,0.9820861933356353,0.9725837835571997,30.943723360451173,31.10073407308421,31.142959840542808,0.5469179677657261,0.5559153602069533,0.558860848625786
Leave-One-Family-Out Focused OOD,point_cluster,1.0203330974153695,0.993146008677924,0.976900798217119,31.633987579497358,31.75127638839761,31.82290291500809,0.5850158226536742,0.5917292275061425,0.5953967587641632
Leave-One-Family-Out Focused OOD,point_cluster,1.0211560844165901,1.0026753832683635,0.9875908700346544,31.27833159021114,31.357649458073954,31.42348217877153,0.5576861024639739,0.5607299727211766,0.5659981530997028
Leave-One-Family-Out Focused OOD,point_cluster,1.0237231998888936,1.0195025178082149,1.0217464541162926,32.99232854173094,33.01027093209482,33.000722903376605,0.6516447048084129,0.6530134010981372,0.6516235119343852
Leave-One-Family-Out Focused OOD,point_cluster,1.0242092745963445,1.0122739385534767,0.9863526910938923,30.278600906934408,30.32950728229964,30.44216563555884,0.5576907780743868,0.5566692270587027,0.5603811725916876
Leave-One-Family-Out Focused OOD,point_cluster,1.0264558453818688,0.9793216434782137,0.9651371731343866,32.39229787229574,32.596447128526854,32.659810360850116,0.6212397851860443,0.6334832305111395,0.6371565380224584
Leave-One-Family-Out Focused OOD,point_cluster,1.026645253605717,1.0315248461168076,1.0192679363254744,31.189152252513992,31.168559553701165,31.220472637739963,0.553290516862714,0.5528233091692071,0.5570669306701306
Leave-One-Family-Out Focused OOD,point_cluster,1.0321203129085943,0.9977950277385447,0.9824818541792713,30.500794614764466,30.647684553525334,30.714852608547005,0.5587322539527895,0.5728094458493549,0.5787871153729988
Leave-One-Family-Out Focused OOD,point_cluster,1.032441073871169,1.0068417164107863,0.997875374719775,31.034719833551947,31.14376045060957,31.18260961896698,0.5475390830129954,0.5520321926172718,0.5542101385022845
