dataset,family,baseline_nmse,pc_nmse,baseline_psnr,pc_psnr,baseline_ssim,pc_ssim
Leave-One-Family-Out Focused OOD,point_cluster,0.9902768380884489,0.9825098272699954,30.927037658945558,30.961235086459723,0.541766105607557,0.5437690255052428
Leave-One-Family-Out Focused OOD,point_cluster,0.9912719617384175,0.9947410621638447,31.556169557662685,31.54099739025645,0.5833941828049125,0.5790473419441302
Leave-One-Family-Out Focused OOD,point_cluster,0.9935606082163584,0.9753764064028269,31.55834661704108,31.638567925438164,0.581594910156067,0.5857891849914946
Leave-One-Family-Out Focused OOD,point_cluster,0.9948942728796374,0.9733705956769073,31.896672958204174,31.99165993826987,0.5940867671750597,0.6011777385425513
Leave-One-Family-Out Focused OOD,point_cluster,0.9958470524467657,0.9773084737420397,31.53386782289434,31.61547745530607,0.5786063654915621,0.5820977160833632
Leave-One-Family-Out Focused OOD,point_cluster,0.9964101383004172,0.9892781447706434,31.594406669978955,31.625603968454826,0.5755815038478284,0.5769718535977681
Leave-One-Family-Out Focused OOD,point_cluster,0.9964170203951339,0.9870325130979803,31.617851393481203,31.658948151856848,0.5866812115027041,0.5867820979251257
Leave-One-Family-Out Focused OOD,point_cluster,0.9989125700355446,0.9796612099320625,31.439925699522036,31.52444106848006,0.5743450526382826,0.5835069013569593
Leave-One-Family-Out Focused OOD,point_cluster,1.0009520293508165,0.9799099081233718,32.07707803722103,32.16934957323425,0.6305904915819734,0.6284187548664508
Leave-One-Family-Out Focused OOD,point_cluster,1.0018047183937777,0.9745278440791694,31.962289864486365,32.082178008806196,0.6070652654257405,0.6123525391866897
Leave-One-Family-Out Focused OOD,point_cluster,1.0031139071637523,0.9927775935763286,31.38495212331362,31.429935111848263,0.5636245350081409,0.5658894085729422
Leave-One-Family-Out Focused OOD,point_cluster,1.003306078706253,1.0129085890315566,32.21201220108829,32.17064408318511,0.6093316221953662,0.6096846319238751
Leave-One-Family-Out Focused OOD,point_cluster,1.0038031591332781,0.9775761030706297,30.791866352160916,30.906845882166035,0.5385573761376705,0.5441197452115251
Leave-One-Family-Out Focused OOD,point_cluster,1.0056372621613083,0.9732295252488714,32.02222213744785,32.164482886211516,0.6028446170899527,0.6131025115003867
Leave-One-Family-Out Focused OOD,point_cluster,1.0064567617433184,1.0046677333410772,31.40665151320823,31.414378137093504,0.5871965677327625,0.5804803808131456
Leave-One-Family-Out Focused OOD,point_cluster,1.0090749435045632,0.9945567778856994,31.1105211049857,31.173459768763916,0.5525255261266413,0.5581171620624832
Leave-One-Family-Out Focused OOD,point_cluster,1.0121816488583435,0.9685269317455744,31.60795120665526,31.799418846267695,0.5924781488051539,0.6027724507363778
Leave-One-Family-Out Focused OOD,point_cluster,1.0136527201205037,0.9910659869477698,31.995336397666666,32.09320268930333,0.5983358870634615,0.6034304395067652
Leave-One-Family-Out Focused OOD,point_cluster,1.014045640214856,1.0125522474897668,31.402249580946947,31.40865004058403,0.5602645784050116,0.562254636722648
Leave-One-Family-Out Focused OOD,point_cluster,1.0150832861466959,1.0040655222662642,30.6164186652633,30.663814966368108,0.5403982219527168,0.5383632076805682
Leave-One-Family-Out Focused OOD,point_cluster,1.0156613447596214,0.9851053808960449,31.459734800672422,31.592397121091498,0.5658516178651642,0.5760935123948413
Leave-One-Family-Out Focused OOD,point_cluster,1.0177139762052796,1.026186226590079,32.03911287096212,32.00310856223113,0.6306046654977453,0.6265455211467329
Leave-One-Family-Out Focused OOD,point_cluster,1.0182411629089603,0.9820861933356353,30.943723360451173,31.10073407308421,0.5469179677657261,0.5559153602069533
Leave-One-Family-Out Focused OOD,point_cluster,1.0203330974153695,0.993146008677924,31.633987579497358,31.75127638839761,0.5850158226536742,0.5917292275061425
Leave-One-Family-Out Focused OOD,point_cluster,1.0211560844165901,1.0026753832683635,31.27833159021114,31.357649458073954,0.5576861024639739,0.5607299727211766
Leave-One-Family-Out Focused OOD,point_cluster,1.0237231998888936,1.0195025178082149,32.99232854173094,33.01027093209482,0.6516447048084129,0.6530134010981372
Leave-One-Family-Out Focused OOD,point_cluster,1.0242092745963445,1.0122739385534767,30.278600906934408,30.32950728229964,0.5576907780743868,0.5566692270587027
Leave-One-Family-Out Focused OOD,point_cluster,1.0264558453818688,0.9793216434782137,32.39229787229574,32.596447128526854,0.6212397851860443,0.6334832305111395
