dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Main Test,line_test_0016,line,Ours-PC-P1,0.6454084595025764,30.104663835285077,0.6461308022144991,0.35173938516527414,5.612168917707943
Main Test,line_test_0017,line,Baseline-Ours,0.9297164375391729,32.41149764832304,0.6375871431409184,0.2132032314268872,9.25886925515571
Main Test,line_test_0017,line,Ours-PC-P1,0.9169113354354104,32.471729372751064,0.6413476896909522,0.2157553918659687,9.149346523791872
Main Test,line_test_0018,line,Baseline-Ours,0.6691216542852075,31.11355259739751,0.6483793541610011,0.2924851103173569,6.74913277608002
Main Test,line_test_0018,line,Ours-PC-P1,0.6581119996907216,31.185605178897955,0.6532337682906056,0.29601430683396757,6.668667017048838
Main Test,line_test_0019,line,Baseline-Ours,0.6215754954514306,31.36614995787294,0.6841122233800107,0.2670737813180313,7.3912940267528215
Main Test,line_test_0019,line,Ours-PC-P1,0.6460215677755414,31.198618540220483,0.6742758056192063,0.27002976601943374,7.310382383607982
Main Test,cross_test_0000,cross,Baseline-Ours,0.8494072423825269,32.889204723369446,0.6933142942128572,0.2741575155826286,7.200316359604966
Main Test,cross_test_0000,cross,Ours-PC-P1,0.8599419579982586,32.835673144107375,0.6862167092033815,0.27764297812245786,7.109925336154504
Main Test,cross_test_0001,cross,Baseline-Ours,0.7392629155710146,27.81268504425092,0.502253666334274,0.36666908845771107,5.383657653993713
Main Test,cross_test_0001,cross,Ours-PC-P1,0.7517694579037209,27.73982727316828,0.49193263854291464,0.37058797013014555,5.326726725276603
Main Test,cross_test_0002,cross,Baseline-Ours,0.8829770885941711,30.905493899162582,0.5647747532382461,0.26799614037852737,7.3658554998966626
Main Test,cross_test_0002,cross,Ours-PC-P1,0.8554579197203455,31.043001838710182,0.5798378652742671,0.2706562818493694,7.293460292404638
Main Test,cross_test_0003,cross,Baseline-Ours,0.8076134098745416,28.56086555005655,0.4937352270495635,0.43043082844931635,4.586151163172776
Main Test,cross_test_0003,cross,Ours-PC-P1,0.8182139633740246,28.504232084481927,0.49313452980083733,0.43349481117911637,4.553735808714456
Main Test,cross_test_0004,cross,Baseline-Ours,0.77675287342251,28.962860568609308,0.5280373316130121,0.38315833624918016,5.151971542319478
Main Test,cross_test_0004,cross,Ours-PC-P1,0.778509414217961,28.953050522776387,0.5315986745073372,0.3859005067497492,5.115362146539956
Main Test,cross_test_0005,cross,Baseline-Ours,0.9332233295863702,31.464856009147315,0.6315014299624129,0.3005375725636259,6.568299689518321
Main Test,cross_test_0005,cross,Ours-PC-P1,0.9187783017067181,31.532604486806548,0.6277849796309936,0.30339936818927526,6.50634461218378
Main Test,cross_test_0006,cross,Baseline-Ours,0.7150371921424605,30.176956264921422,0.5823214953748725,0.30674089639913293,6.435466766027988
Main Test,cross_test_0006,cross,Ours-PC-P1,0.663718231872141,30.500405203557396,0.6196499736204731,0.3094939941074699,6.378220198589014
Main Test,cross_test_0007,cross,Baseline-Ours,0.8184886011207444,34.80119824087919,0.7542154909304464,0.31282114828471097,6.310381684174431
Main Test,cross_test_0007,cross,Ours-PC-P1,0.8301913053562565,34.73954282920143,0.7529303585896443,0.3164451150223613,6.238114449700896
Main Test,cross_test_0008,cross,Baseline-Ours,0.7433998219935689,29.25380956769645,0.555612775418282,0.27833701935131105,7.092196536267017
Main Test,cross_test_0008,cross,Ours-PC-P1,0.7660972788377273,29.12319501995803,0.5362422937539577,0.28158483910374343,7.010394632187465
Main Test,cross_test_0009,cross,Baseline-Ours,0.8981053910374331,33.34632648505901,0.701418781706829,0.29352108840364965,6.72531181760809
Main Test,cross_test_0009,cross,Ours-PC-P1,0.9052320645616,33.31200023011146,0.6965805002150017,0.2973149500321597,6.639494059564545
Main Test,cross_test_0010,cross,Baseline-Ours,0.6879570606582125,33.67190318782802,0.7470663539864596,0.5834394014393911,3.3834205226595744
Main Test,cross_test_0010,cross,Ours-PC-P1,0.7294795053438987,33.41738576089563,0.7249109096581111,0.5872084160801023,3.361703937650944
Main Test,cross_test_0011,cross,Baseline-Ours,0.7139124832264778,28.77770932232924,0.5474775791321642,0.29694202853832397,6.6478324212817945
Main Test,cross_test_0011,cross,Ours-PC-P1,0.7441424998626311,28.597598170747126,0.5256480118700853,0.3004807741381228,6.569541263398271
Main Test,cross_test_0012,cross,Baseline-Ours,0.8590476095968397,32.32643047085487,0.6505125526340078,0.3564175943331793,5.538505606748859
Main Test,cross_test_0012,cross,Ours-PC-P1,0.8833352032194046,32.20534764446363,0.6410018590351136,0.3600430318620056,5.482735867291665
Main Test,cross_test_0013,cross,Baseline-Ours,0.9276794302585497,31.98826148252141,0.6565811807767409,0.5731976333493367,3.4438747295999077
Main Test,cross_test_0013,cross,Ours-PC-P1,0.9098500275496623,32.07254255408367,0.6518648053200579,0.5804759808816016,3.400693412947418
Main Test,cross_test_0014,cross,Baseline-Ours,0.6757872155520795,29.405424274923316,0.5712196494278621,0.24860853245016187,7.940277934563579
Main Test,cross_test_0014,cross,Ours-PC-P1,0.6936572781305743,29.292074727608433,0.5601667922192567,0.2521700782235712,7.8281327367004625
Main Test,L_shape_test_0000,L-shape,Baseline-Ours,0.6825317214990932,27.830945877774983,0.5353030969481889,0.32513097752351316,6.071463444037702
Main Test,L_shape_test_0000,L-shape,Ours-PC-P1,0.6954272601210725,27.749656906751273,0.5276973382849935,0.3285585071425885,6.008125802999111
Main Test,L_shape_test_0001,L-shape,Baseline-Ours,0.5900710188912967,29.954410629964528,0.6426040115609996,0.4745695782778785,4.1596025849815215
Main Test,L_shape_test_0001,L-shape,Ours-PC-P1,0.5831651825679602,30.00553796561195,0.6496513500585115,0.4783114828169346,4.12706137208455
Main Test,L_shape_test_0002,L-shape,Baseline-Ours,0.6141413192817137,29.398237435386374,0.6440097458933982,0.29986819633748385,6.582961676724833
Main Test,L_shape_test_0002,L-shape,Ours-PC-P1,0.6324546807111562,29.27062680511058,0.6299794536842925,0.3029743239749223,6.515472396009527
Main Test,L_shape_test_0003,L-shape,Baseline-Ours,0.6811842322129271,29.15565289438263,0.5767069281137587,0.3231196534773335,6.109256503943142
Main Test,L_shape_test_0003,L-shape,Ours-PC-P1,0.6720121238289299,29.214527785729068,0.5845142471018462,0.326714969240129,6.042027548200242
Main Test,L_shape_test_0004,L-shape,Baseline-Ours,0.6871675690240565,27.40975850693291,0.5397194820983838,0.7643975004041568,2.582453296242515
Main Test,L_shape_test_0004,L-shape,Ours-PC-P1,0.701400899433083,27.32072164468635,0.5287345103361577,0.7673847440164536,2.572400428794462
Main Test,L_shape_test_0005,L-shape,Baseline-Ours,0.6707999418995586,28.873789351634358,0.5769408831749641,0.291210834258236,6.778665531405876
Main Test,L_shape_test_0005,L-shape,Ours-PC-P1,0.6956059489227383,28.71608672190963,0.5569724696777457,0.29690253688022494,6.648716664063413
Main Test,L_shape_test_0006,L-shape,Baseline-Ours,0.8552934324389482,31.839929269495535,0.6404981412492837,0.2732725272374228,7.223634459395175
Main Test,L_shape_test_0006,L-shape,Ours-PC-P1,0.81557574450941,32.04643770913749,0.6590621775083291,0.2769670218694955,7.127277577069791
Main Test,L_shape_test_0007,L-shape,Baseline-Ours,0.6746187850170376,28.708937167996645,0.5667398000133884,0.3531524132424966,5.589713592592011
Main Test,L_shape_test_0007,L-shape,Ours-PC-P1,0.6686428209365722,28.747579469585823,0.5747891131738516,0.3560138298198581,5.54478696953178
Main Test,L_shape_test_0008,L-shape,Baseline-Ours,0.8947562131919773,30.957361260368252,0.6030726649298461,0.2521607853425667,7.828421226863239
Main Test,L_shape_test_0008,L-shape,Ours-PC-P1,0.8482853364403932,31.18898870776316,0.6155217015220601,0.2558965948410332,7.714134866798618
Main Test,L_shape_test_0009,L-shape,Baseline-Ours,0.6241015531600728,28.45068706540248,0.630529950719484,0.671708541312255,2.9388056324277065
Main Test,L_shape_test_0009,L-shape,Ours-PC-P1,0.6390727389119053,28.347736896769227,0.6201022128607294,0.6754882480017841,2.9223614924430783
Main Test,L_shape_test_0010,L-shape,Baseline-Ours,0.847007027058786,31.323581849780634,0.6177987810306841,0.3516333753662184,5.613860864323117
Main Test,L_shape_test_0010,L-shape,Ours-PC-P1,0.8262185290322875,31.431502832129716,0.6278145615064665,0.3544898168183863,5.568624967214763
Main Test,L_shape_test_0011,L-shape,Baseline-Ours,0.8740622583675965,33.96441997335223,0.7257462680295044,0.2317897724872455,8.51642772403548
Main Test,L_shape_test_0011,L-shape,Ours-PC-P1,0.8591341822513039,34.03923381997547,0.7288304501416062,0.23471547407098114,8.410271424888174
Main Test,L_shape_test_0012,L-shape,Baseline-Ours,0.7660146522872785,27.91596823835222,0.4808616223596298,0.505559052429162,3.9046296077051257
Main Test,L_shape_test_0012,L-shape,Ours-PC-P1,0.7283501620251766,28.13493677957633,0.5126072906453318,0.5084873801097274,3.8821432385053027
Main Test,L_shape_test_0013,L-shape,Baseline-Ours,0.7241529739153406,28.663890162049608,0.5395535971310239,0.4899636184284464,4.028913107650538
