dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0042,point_cluster,Baseline-Ours,1.0719961109450495,30.61767308304153,0.5258305928451988,0.4525018942076713,3.945860912710404
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0042,point_cluster,Ours-PC-P1,1.0156754078323103,30.85205579253103,0.5393120965312688,0.45007030526176095,3.9671791638042326
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0043,point_cluster,Baseline-Ours,0.9259789401244799,31.99816246546242,0.6186464024406807,0.3374619160313159,5.290995672281361
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0043,point_cluster,Ours-PC-P1,0.9243476852858193,32.00581998007438,0.6162750934043872,0.3376822869759053,5.287542776588901
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0044,point_cluster,Baseline-Ours,1.0585944319598835,31.938114658205706,0.603414301878217,0.37239873595535755,4.794617609807118
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0044,point_cluster,Ours-PC-P1,1.0040312412351338,32.16793842622896,0.6142941128625113,0.37145497696474195,4.806799337759168
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0045,point_cluster,Baseline-Ours,1.0242092745963445,30.278600906934408,0.5576907780743868,0.3314876267686486,5.3863534958654995
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0045,point_cluster,Ours-PC-P1,1.0122739385534767,30.32950728229964,0.5566692270587027,0.3288786979392171,5.429082359148308
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0046,point_cluster,Baseline-Ours,1.037096177561507,31.400609669372557,0.5608371786055892,0.40507590607739985,4.407839396254544
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0046,point_cluster,Ours-PC-P1,1.0048809590246326,31.53765391442702,0.5721371099147852,0.40298752789385617,4.430681878948269
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0047,point_cluster,Baseline-Ours,1.0038031591332781,30.791866352160916,0.5385573761376705,0.37858974607661366,4.716212089167735
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0047,point_cluster,Ours-PC-P1,0.9775761030706297,30.906845882166035,0.5441197452115251,0.3770885900594294,4.73498690851418
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0048,point_cluster,Baseline-Ours,0.9553568991234637,32.245044138005674,0.6249580522696683,0.3297211891040206,5.415210172368313
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0048,point_cluster,Ours-PC-P1,0.9553728138400341,32.24497165079997,0.6229889061516348,0.32967210095375776,5.416016496742978
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0049,point_cluster,Baseline-Ours,1.014045640214856,31.402249580946947,0.5602645784050116,0.3730499017983675,4.786248511724664
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0049,point_cluster,Ours-PC-P1,1.0125522474897668,31.40865004058403,0.562254636722648,0.3720865319482982,4.798640595595561
