ood_split,dataset_dir,variant,seed,sample_id,family,NMSE,PSNR,SSIM,MAE,runtime_with_ref3_per_sample
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0027,line,0.9956514309909725,27.978829024641886,0.3536943869863014,0.002290356205776334,0.3312848230016243
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0028,line,1.0000033053895205,28.353568242136053,0.3719401020806982,0.0019139101495966315,0.2860288420015422
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0029,line,0.9971049062498766,27.528043520129344,0.32756498770672837,0.002310961950570345,0.30103818000134197
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0030,line,0.9943359531230862,28.085803614573656,0.3611057583337211,0.002088821493089199,0.5451784149954619
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0031,line,0.9970487382660422,25.533666235324972,0.23461523636943626,0.0034378264099359512,0.3421912100020563
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0032,line,0.9965170649900937,27.264224293420302,0.31383080865742874,0.0023385731037706137,0.26933636800094973
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0033,line,0.9977982812941036,28.539850289555027,0.3839982146565581,0.0018479371210560203,0.3833615990006365
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0034,line,0.9995560015540599,26.859370507879735,0.2919051549805951,0.002514471532776952,0.7886093970009824
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0035,line,0.9957182427005948,27.9373014291808,0.3496188000277959,0.0021675419993698597,0.2755752930024755
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0036,line,0.9917709012808742,27.295312023587968,0.32065557847029336,0.002261752262711525,2.446590207000554
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0037,line,0.9967251756340934,26.6009241287142,0.28653129971805547,0.002463896991685033,0.33166627600076026
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0038,line,0.9980184662666088,26.387242949609828,0.26895177519897123,0.002743005519732833,2.0715893789965776
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0039,line,0.9981257728687278,27.118606410727697,0.309877052208792,0.002343392465263605,0.3850097129979986
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0040,line,0.9984965019474427,25.13408085916433,0.20237470623866524,0.0039540790021419525,0.5509082869975828
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0041,line,0.994628822599696,28.830877532885502,0.40163924235725545,0.0018076488049700856,0.331634452995786
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0042,line,1.0000045053716529,27.145917663375766,0.30427876325506376,0.002461908617988229,0.3879645659981179
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0043,line,0.9911988097696081,27.511616232621456,0.3299050625256054,0.0023652329109609127,0.4214789229990856
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0044,line,0.9959786681901583,25.454804256464527,0.22270155877034692,0.0035867751576006413,0.28040718199918047
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0045,line,0.9972517470718985,26.958515324807358,0.29769899585966597,0.002423483645543456,0.8629484160010179
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0046,line,0.9982682054713818,27.77274833133562,0.3401617792321518,0.0021466331090778112,0.4779487909981981
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0047,line,0.9938760397164257,26.927276533153478,0.29825852975426825,0.0024825199507176876,0.2658049290002964
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0048,line,0.994107473791199,26.953333089051405,0.2994160461306687,0.0024497571866959333,0.3838104280002881
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0049,line,0.9988295114015396,26.00985405564463,0.24473718862022142,0.0032444982789456844,0.6832499489973998
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0050,line,0.9925715398071694,27.9880817915933,0.3561104236380502,0.002212903229519725,0.3410343200011994
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0051,line,0.9982358087315761,28.265510268825178,0.3688022938241615,0.0018663379596546292,0.45704090800427366
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0052,line,0.9945452061366659,26.69729090446538,0.2867436663675512,0.0024904021993279457,0.3458607969987497
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0053,line,0.9960684835777861,26.977215684480363,0.30000719887234106,0.0024846030864864588,0.3289866329978395
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0054,line,0.9970752320200501,27.04938698353281,0.3022655016029817,0.0024323512334376574,0.5099899189990538
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0055,line,0.9960106540921332,27.16549739170111,0.3089396385369074,0.002390448236837983,0.2984855590002553
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0056,line,0.9931596570475832,26.38207092588327,0.27077558783244077,0.002759239636361599,0.25920412500272505
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0057,line,0.9973676526520251,28.075481552844632,0.3577630670613972,0.0020901376847177744,0.33002429499538266
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0058,line,0.9970053419664846,26.245140617710927,0.26141042512328216,0.0027300205547362566,0.567336702002649
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0059,line,0.9980550808762905,27.472159433233834,0.330753528287046,0.0022783970925956964,0.29498376000265125
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0060,line,0.9988785970243235,22.942781217339704,0.12192923577718025,0.005426821764558554,0.27599921499495395
Unseen-Parameter OOD,unseen_param_ood,S07_generic_film_middeep,0,unseen_param_ood_0061,line,0.9980198383498942,27.44884767864566,0.3225777609206977,0.0022927462123334408,0.48383203800040064
