variant,seed,bin,n,NMSE,MAE,SSIM
S07_generic_film_middeep,0,abs_Pcyc_le_0p25,100,0.994694279199399,0.8362381415268809,0.7538840087203229
S07_generic_film_middeep,0,large,100,0.9940045431985539,0.8309636983004484,0.7209437563567707
S07_generic_film_middeep,0,medium,100,0.9949168191791613,0.8315679478645325,0.7241791930806407
S07_generic_film_middeep,0,small,100,0.994706042601303,0.8313863372802734,0.704789995195944
S07_generic_film_middeep,1,abs_Pcyc_gt_0p25,100,0.9825758178691402,0.8231812554597855,0.5630887436538224
S07_generic_film_middeep,1,abs_Pcyc_le_0p25,100,0.9815001853475459,0.8307808588460549,0.756939497396184
S07_generic_film_middeep,1,large,100,0.9827681198380525,0.8262366477889244,0.7239392923057486
S07_generic_film_middeep,1,medium,100,0.9822303890258022,0.826218341588974,0.7274602228175102
S07_generic_film_middeep,1,small,100,0.982026121458027,0.8261499756574631,0.708352093280864
S07_generic_film_middeep,2,abs_Pcyc_gt_0p25,100,0.9744589321280176,0.8196017467975616,0.5671933958002733
S07_generic_film_middeep,2,abs_Pcyc_le_0p25,100,0.9732023561429595,0.8268632262023454,0.7592503071210922
S07_generic_film_middeep,2,large,100,0.9726745159991163,0.8218520500443198,0.7267515309478644
S07_generic_film_middeep,2,medium,100,0.9759147920355433,0.8233830124139786,0.7300497341844668
S07_generic_film_middeep,2,small,100,0.9731882928064844,0.8220635640621186,0.7110687440510572
S08_rsbfilm_middeep_default,0,abs_Pcyc_gt_0p25,100,0.9912874071450711,0.8268782633543015,0.5596265045775405
S08_rsbfilm_middeep_default,0,abs_Pcyc_le_0p25,100,0.9912190582500862,0.8347500273861836,0.7546876142289729
S08_rsbfilm_middeep_default,0,large,100,0.9904183773711546,0.8294285379274927,0.722039879813002
S08_rsbfilm_middeep_default,0,medium,100,0.9918202682278339,0.8302588981389999,0.7250589913232091
S08_rsbfilm_middeep_default,0,small,100,0.9916343669515912,0.830064976811409,0.705688084636757
S08_rsbfilm_middeep_default,1,abs_Pcyc_gt_0p25,100,0.9789926339204925,0.8216017985343933,0.5651207954161697
S08_rsbfilm_middeep_default,1,abs_Pcyc_le_0p25,100,0.977302539610727,0.8288779695009448,0.7581322770200026
S08_rsbfilm_middeep_default,1,large,100,0.9794582048843752,0.8247186475329928,0.7253946178855827
S08_rsbfilm_middeep_default,1,medium,100,0.9785494420546677,0.82462073802948,0.7287735961773728
S08_rsbfilm_middeep_default,1,small,100,0.977363724676694,0.8241022503376008,0.7097015832951911
S08_rsbfilm_middeep_default,2,abs_Pcyc_gt_0p25,100,0.9777082053241436,0.8210613644123077,0.5653048524124812
S08_rsbfilm_middeep_default,2,abs_Pcyc_le_0p25,100,0.9759918269667186,0.8284009867107746,0.7584364359364603
S08_rsbfilm_middeep_default,2,large,100,0.9774818001240556,0.8238953761380128,0.7253574275959893
S08_rsbfilm_middeep_default,2,medium,100,0.9780756474643433,0.8244668769836426,0.7288789906683008
S08_rsbfilm_middeep_default,2,small,100,0.9765454785687484,0.8237129372358322,0.7100681506346657
S09_concat_Mshell_delta_Pcyc_sincos,0,abs_Pcyc_gt_0p25,100,0.9937240724934792,0.827948744893074,0.5584809691148408
S09_concat_Mshell_delta_Pcyc_sincos,0,abs_Pcyc_le_0p25,100,0.994742246253131,0.83634600872846,0.7539184586531938
S09_concat_Mshell_delta_Pcyc_sincos,0,large,100,0.9927288697978038,0.8304878617777969,0.7213006261806645
S09_concat_Mshell_delta_Pcyc_sincos,0,medium,100,0.9944016485257571,0.8313477265834809,0.7243168257458383
S09_concat_Mshell_delta_Pcyc_sincos,0,small,100,0.9950170429349389,0.8316179031133651,0.7047909662769917
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,abs_Pcyc_gt_0p25,100,0.9989483965460784,0.8301440513134003,0.5561486627800875
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,abs_Pcyc_le_0p25,100,0.9989528344478499,0.8381361242422124,0.7528128067157377
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,large,100,0.9990004460763755,0.8330757852756616,0.7195748034228202
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,medium,100,0.9988805891711956,0.8332219088077545,0.7229963615004287
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,small,100,0.9990096917546559,0.8333063751459122,0.7035016454575848
S11_rsbfilm_Pcyc_sincos,0,abs_Pcyc_gt_0p25,100,0.9814020440023741,0.8226635605096817,0.5635544797664181
S11_rsbfilm_Pcyc_sincos,0,abs_Pcyc_le_0p25,100,0.9796268643363093,0.8299031607883492,0.7574342780635775
S11_rsbfilm_Pcyc_sincos,0,large,100,0.9812661522610336,0.8255723955655339,0.7244866423255616
S11_rsbfilm_Pcyc_sincos,0,medium,100,0.982706290852708,0.8263674622774124,0.7274355732978198
S11_rsbfilm_Pcyc_sincos,0,small,100,0.9792623307566113,0.8249619054794312,0.7089720467891142
