variant,seed,family,n,NMSE,PSNR,SSIM
S02_plain_residual_unet,2,point_cluster,20,0.9965238201472273,34.00849790719917,0.700482382146601
S02_plain_residual_unet,2,small_rect_edge,10,0.9952722483876091,29.60969756785665,0.4493809537935157
S03_concat_Mshell,0,L-shape,20,0.992500660675218,28.325976258298205,0.3811541983917492
S03_concat_Mshell,0,cross,15,0.9945216733979308,29.997287303586734,0.4741968171079875
S03_concat_Mshell,0,double-line,15,0.9911088643599745,27.43726958464852,0.3338431705438168
S03_concat_Mshell,0,line,20,0.9960187899616793,30.686685583057777,0.5117715671922174
S03_concat_Mshell,0,point_cluster,20,1.0056908070301445,33.96896059274874,0.7003828808040612
S03_concat_Mshell,0,small_rect_edge,10,0.9947301753350075,29.61207160192843,0.45317081681380705
S04_concat_Mshell_delta,0,L-shape,20,1.5570976828805683,26.57384608824156,0.3264322688594064
S04_concat_Mshell_delta,0,cross,15,2.0211339090530043,27.338487689926826,0.3751123253994928
S04_concat_Mshell_delta,0,double-line,15,1.5691204682270368,25.813031968279653,0.3097345342012724
S04_concat_Mshell_delta,0,line,20,2.2211479492063533,27.923045078326982,0.39703761525718406
S04_concat_Mshell_delta,0,point_cluster,20,4.802192861999197,27.992825176186557,0.3575687330714276
S04_concat_Mshell_delta,0,small_rect_edge,10,1.8408222011341366,27.281694857885903,0.33278145169659334
S04_concat_Mshell_delta,1,L-shape,20,0.9842936238533602,28.362571411607018,0.39762197085808965
S04_concat_Mshell_delta,1,cross,15,0.9907514711892303,30.015867204806323,0.4898371847026111
S04_concat_Mshell_delta,1,double-line,15,0.9756097412966781,27.50610567264179,0.35724024096016416
S04_concat_Mshell_delta,1,line,20,0.9869389555518646,30.7302775315623,0.5273692642580251
S04_concat_Mshell_delta,1,point_cluster,20,1.0810941231792468,33.66746483361227,0.6883258364234321
S04_concat_Mshell_delta,1,small_rect_edge,10,0.9934032328446809,29.618760899659254,0.46636054384271886
S04_concat_Mshell_delta,2,L-shape,20,0.9977075899199038,28.30323496105669,0.3756679123020213
S04_concat_Mshell_delta,2,cross,15,0.9982025872244429,29.981251186595465,0.4705161413057924
S04_concat_Mshell_delta,2,double-line,15,0.9983469158411251,27.40565960105719,0.3274070233742146
S04_concat_Mshell_delta,2,line,20,0.9992641467102394,30.672498195664655,0.5078357343231461
S04_concat_Mshell_delta,2,point_cluster,20,1.0091823007027432,33.9537814255234,0.6985089731970409
S04_concat_Mshell_delta,2,small_rect_edge,10,1.0003301651894456,29.58769333030084,0.44883529538353517
S05_concat_Mshell_delta_Pcyc,0,L-shape,20,0.9994873954403951,28.29550461788285,0.37924044067053014
S05_concat_Mshell_delta_Pcyc,0,cross,15,1.0020133754855982,29.964772974792442,0.472760857752735
S05_concat_Mshell_delta_Pcyc,0,double-line,15,0.9982081478523822,27.40631593265539,0.33152249178995863
S05_concat_Mshell_delta_Pcyc,0,line,20,1.0051750383760971,30.647240285607847,0.5089427731502266
S05_concat_Mshell_delta_Pcyc,0,point_cluster,20,1.025765525919836,33.8836510315049,0.6960631734687059
S05_concat_Mshell_delta_Pcyc,0,small_rect_edge,10,1.0036238218566678,29.573469011862283,0.4505857995905044
S05_concat_Mshell_delta_Pcyc,1,L-shape,20,0.9802268601116332,28.380084757851016,0.3864603185051161
S05_concat_Mshell_delta_Pcyc,1,cross,15,0.9792229104640161,30.064632771858903,0.4799284593730818
S05_concat_Mshell_delta_Pcyc,1,double-line,15,0.9832254574725169,27.47205257429686,0.33624997877383206
S05_concat_Mshell_delta_Pcyc,1,line,20,0.9818884585600653,30.748761130354183,0.5164836228479845
S05_concat_Mshell_delta_Pcyc,1,point_cluster,20,0.9932055453325133,34.023056079573756,0.7027947959134384
S05_concat_Mshell_delta_Pcyc,1,small_rect_edge,10,0.9832021056333378,29.662933930440488,0.4571177725977509
S05_concat_Mshell_delta_Pcyc,2,L-shape,20,3.3245950007477996,23.588570250833612,0.18398970167317225
S05_concat_Mshell_delta_Pcyc,2,cross,15,5.3016852304486735,23.539152625847997,0.1833989872464566
S05_concat_Mshell_delta_Pcyc,2,double-line,15,3.15605912731243,23.364111131072214,0.20349553020446215
S05_concat_Mshell_delta_Pcyc,2,line,20,5.207923478237156,24.54207186406565,0.22296212441163438
S05_concat_Mshell_delta_Pcyc,2,point_cluster,20,13.03223471890369,23.58972524473422,0.1336839451193322
S05_concat_Mshell_delta_Pcyc,2,small_rect_edge,10,4.158449423628943,24.17453121004264,0.18865295079816852
S06_geometry_branch_bottleneck_concat,0,L-shape,20,0.995359767644491,28.313452569356656,0.37502949777428074
S06_geometry_branch_bottleneck_concat,0,cross,15,0.9960200564365036,29.990703150979748,0.46943888201714906
S06_geometry_branch_bottleneck_concat,0,double-line,15,0.9953704125346862,27.418620149624136,0.3267547353993428
S06_geometry_branch_bottleneck_concat,0,line,20,0.9950608974039555,30.690743100171545,0.508248868358889
S06_geometry_branch_bottleneck_concat,0,point_cluster,20,0.9968860376414149,34.00689393694071,0.7003231611301171
S06_geometry_branch_bottleneck_concat,0,small_rect_edge,10,0.9956162429505595,29.60818652629185,0.44921059427741417
S06_geometry_branch_bottleneck_concat,1,L-shape,20,1.785787131049623,26.051435975626294,0.3102755798441023
S06_geometry_branch_bottleneck_concat,1,cross,15,2.477207614436085,26.58234414584517,0.347980638219854
S06_geometry_branch_bottleneck_concat,1,double-line,15,1.7865825530693333,25.380584302413535,0.3001820472096797
S06_geometry_branch_bottleneck_concat,1,line,20,2.647229443464439,27.299528986686,0.37683573811813187
