method_id,table_label,ood_split,seed,sample_id,NMSE,PSNR,SSIM,MAE
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0081,3.518942319990618,25.84991883525205,0.22875938444416624,0.009560201317071915
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0082,4.226830051904531,24.080298738454474,0.14342447032895345,0.01333097368478775
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0083,5.96641780075458,23.914339005537943,0.11988942697447677,0.01313897967338562
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0084,7.689454213982973,22.464211288275802,0.12904527053936718,0.011156929656863213
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0085,4.420572098363083,25.771561984390917,0.2056953827641175,0.009019025601446629
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0086,7.980042392485012,23.018695621828,0.06959765216106342,0.018047114834189415
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0087,8.62490935496821,22.499056438161972,0.07700945439873104,0.015164726413786411
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0088,6.597493947708038,23.24141049119769,0.09198268213977162,0.015412956476211548
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0089,6.276674911723421,23.196076061112578,0.06573147963682055,0.019908763468265533
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0090,4.1167440226524405,25.157817665677626,0.18097570777742542,0.01094979140907526
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0091,7.089245448955162,23.4056271141688,0.1077150783781308,0.014290415681898594
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0092,10.924556344992327,20.63819198786776,0.029740367977563048,0.027532188221812248
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0093,4.306665212498202,24.441944723328707,0.1880390319837397,0.010206489823758602
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0094,7.536478349073,23.745765258908115,0.11177403249019087,0.012881242670118809
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0095,8.035724594859177,22.290267512927635,0.08174437549076057,0.01467650942504406
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0096,8.20696992708437,22.518707486929017,0.06685635262158425,0.018521972000598907
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0097,5.1336890933977575,23.968286684647193,0.1635773517928451,0.01096529234200716
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0098,3.739789581327095,26.78810011181564,0.22911517742278895,0.00909970048815012
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0099,9.544056249010092,22.172790895247118,0.07322527476296994,0.016634361818432808
O00_ref3,ref3,Random-ET OOD,none,random_et_test_00000,1.8653525959009758,27.863541820632413,0.17166244325918642,0.015321844257414341
O00_ref3,ref3,Random-ET OOD,none,random_et_test_00001,2.4595674696530008,29.507336669627758,0.18547070453513237,0.015429703518748283
O00_ref3,ref3,Random-ET OOD,none,random_et_test_00002,14.141801745388651,19.256959110864674,0.009758851454507656,0.04967968910932541
