variant,sample_id,bin,nmse,ssim,mae,boundary_band_m
S08_rsbfilm_middeep_default,point_cluster_test_0000,small,0.2624209827148537,0.9592992889366446,0.3496443033218384,
S08_rsbfilm_middeep_default,point_cluster_test_0000,medium,0.4575576068151604,0.9644154523652121,0.37786054611206055,
S08_rsbfilm_middeep_default,point_cluster_test_0000,large,0.5466455933256958,0.9201478195450836,0.5976811051368713,
S01_ref3,small_rect_edge_test_0000,small,0.5198093293459869,0.8354054385689397,0.6422123908996582,
S01_ref3,small_rect_edge_test_0000,medium,0.7502710589098918,0.8213405866536372,0.8548452854156494,
S01_ref3,small_rect_edge_test_0000,large,0.621265651240737,0.8465673228322487,0.7001703977584839,
S02_plain_residual_unet,small_rect_edge_test_0000,small,0.4921165645888562,0.8448818892138976,0.6225138902664185,
S02_plain_residual_unet,small_rect_edge_test_0000,medium,0.7156647091209396,0.8298069935304939,0.8349426984786987,
S02_plain_residual_unet,small_rect_edge_test_0000,large,0.5909237911266917,0.8543898874383001,0.6821235418319702,
S03_concat_Mshell,small_rect_edge_test_0000,small,0.7874860004464933,0.7424830104142778,0.8154439926147461,
S03_concat_Mshell,small_rect_edge_test_0000,medium,1.0,0.7608906043717637,0.9870098233222961,
S03_concat_Mshell,small_rect_edge_test_0000,large,0.9624886635995102,0.7585839324917868,0.890021800994873,
S04_concat_Mshell_delta,small_rect_edge_test_0000,small,0.5224700995655086,0.834515060505691,0.6438044905662537,
S04_concat_Mshell_delta,small_rect_edge_test_0000,medium,0.7559771211843151,0.8199484786346007,0.8580319881439209,
S04_concat_Mshell_delta,small_rect_edge_test_0000,large,0.6245688606340204,0.8457112182015781,0.7021601796150208,
S05_concat_Mshell_delta_Pcyc,small_rect_edge_test_0000,small,0.9066580352928666,0.7002173356039817,0.8877819180488586,
S05_concat_Mshell_delta_Pcyc,small_rect_edge_test_0000,medium,1.0,0.7608906043717637,0.9870098233222961,
S05_concat_Mshell_delta_Pcyc,small_rect_edge_test_0000,large,1.0,0.7491019801502912,0.9088236093521118,
S06_geometry_branch_bottleneck_concat,small_rect_edge_test_0000,small,0.5689505216446623,0.8183241568667683,0.677993893623352,
S06_geometry_branch_bottleneck_concat,small_rect_edge_test_0000,medium,0.8055534348810179,0.8078543096472117,0.8858253955841064,
S06_geometry_branch_bottleneck_concat,small_rect_edge_test_0000,large,0.6694436587501617,0.8341068353595651,0.7287671566009521,
S07_generic_film_middeep,small_rect_edge_test_0000,small,0.6768987001325177,0.7813865436420886,0.7456914782524109,
S07_generic_film_middeep,small_rect_edge_test_0000,medium,0.9395297608123815,0.7754169962847703,0.9566766023635864,
S07_generic_film_middeep,small_rect_edge_test_0000,large,0.798014754151472,0.8008179115643105,0.8021366000175476,
S08_rsbfilm_middeep_default,small_rect_edge_test_0000,small,0.6819747625594884,0.7796313770147444,0.7488260865211487,
S08_rsbfilm_middeep_default,small_rect_edge_test_0000,medium,0.944510124181807,0.7742168973941146,0.9592236876487732,
S08_rsbfilm_middeep_default,small_rect_edge_test_0000,large,0.8032298430355153,0.7994704109633934,0.805010974407196,
S01_ref3,L_shape_test_0001,small,0.3096120087843244,0.8680018043280419,0.5062578320503235,
S01_ref3,L_shape_test_0001,medium,0.3614211167713399,0.8586471022875233,0.4739818871021271,
S01_ref3,L_shape_test_0001,large,0.15611198452761724,0.9677649917230094,0.32857605814933777,
S02_plain_residual_unet,L_shape_test_0001,small,0.2954148398751297,0.8746200426844237,0.49444952607154846,
S02_plain_residual_unet,L_shape_test_0001,medium,0.34473796314534466,0.8658499734348348,0.4615316390991211,
