variant,sample_id,family,nmse,psnr,ssim,runtime_per_sample
S03_concat_Mshell,small_rect_edge_test_0000,small_rect_edge,29.660564951325398,15.167073746273578,0.001229039339527464,0.0009553329982736614
S04_concat_Mshell_delta,small_rect_edge_test_0000,small_rect_edge,1.8078971017052596,27.317130987782406,0.38529282799167935,0.0009539659986330662
S05_concat_Mshell_delta_Pcyc,small_rect_edge_test_0000,small_rect_edge,25.826814571061174,15.768159505516142,0.0013467228175269288,0.0009604869992472231
S06_geometry_branch_bottleneck_concat,small_rect_edge_test_0000,small_rect_edge,1.7142077305248902,27.548233570020027,0.3703727329392499,0.0014136490026430693
S07_generic_film_middeep,small_rect_edge_test_0000,small_rect_edge,2.523337817159239,25.86911395336923,0.10226277381885732,0.0018004230005317368
S08_rsbfilm_middeep_default,small_rect_edge_test_0000,small_rect_edge,2.4882289478715136,25.929964591716,0.10528544114142227,0.0018874029992730357
S01_ref3,L_shape_test_0001,L-shape,2.5611217491567078,23.57915155505416,0.22686428053173077,0.0
S02_plain_residual_unet,L_shape_test_0001,L-shape,2.8573347839172167,23.10384219021097,0.11085974077351445,0.000977919000433758
S03_concat_Mshell,L_shape_test_0001,L-shape,15.460341501676048,15.771262792887518,0.0014345050410851108,0.0009513290024187881
S04_concat_Mshell_delta,L_shape_test_0001,L-shape,2.429409387590057,23.808446411912723,0.24000363027048452,0.0010474199989403132
S05_concat_Mshell_delta_Pcyc,L_shape_test_0001,L-shape,14.508999013249932,16.04707924226103,0.0016833576918027409,0.0009532910007692408
S06_geometry_branch_bottleneck_concat,L_shape_test_0001,L-shape,2.1582803167651754,24.32237509872074,0.24400977139715802,0.0014075139988563024
S07_generic_film_middeep,L_shape_test_0001,L-shape,2.362440293923625,23.9298451029605,0.10132619258190383,0.001770145998307271
S08_rsbfilm_middeep_default,L_shape_test_0001,L-shape,2.3267656917976356,23.995927019132587,0.10404385074926241,0.0018771239992929623
S01_ref3,cross_test_0001,cross,2.15543072326895,23.165333476123813,0.2303705837373378,0.0
S02_plain_residual_unet,cross_test_0001,cross,2.4197651891991603,22.662941778990316,0.12766654707455496,0.0009776049992069602
S03_concat_Mshell,cross_test_0001,cross,10.654400438778985,16.22538387013343,0.0016724511752595381,0.0009435220017621759
S04_concat_Mshell_delta,cross_test_0001,cross,2.033583532805969,23.418054133487075,0.24569743404956249,0.0009489059993939009
S05_concat_Mshell_delta_Pcyc,cross_test_0001,cross,10.267788410773901,16.385905083742365,0.0016616151601151648,0.0009455219988012686
S06_geometry_branch_bottleneck_concat,cross_test_0001,cross,1.7526568913176739,24.063705235714316,0.263928507979087,0.0013953950001450721
S07_generic_film_middeep,cross_test_0001,cross,1.8273937386785695,23.88235264172544,0.13599439828399582,0.0017582769978616852
S08_rsbfilm_middeep_default,cross_test_0001,cross,1.7969934271245351,23.955209394552423,0.13951074037147643,0.001876791000540834
S01_ref3,double_line_test_0001,double-line,2.2537478413249934,23.108057155720658,0.16796838724166624,0.0
