table_method,method,seed,sample_id,family,NMSE,PSNR,SSIM,MAE,runtime_per_sample,network_runtime_per_sample,end_to_end_runtime_per_sample,source
T01_BP,BP,0,cross_test_0009,cross,4.184604682191987,26.663055410793362,0.30328745444219835,0.005666006822139025,1.4625347279943526,,1.4625347279943526,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0010,cross,2.0128471372830274,29.009408822923717,0.47533067800558876,0.004289924632757902,3.159178063971922,,3.159178063971922,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0011,cross,1.407734462620337,25.82895169755262,0.3436573496624118,0.007919796742498875,1.3494381939526647,,1.3494381939526647,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0012,cross,1.5632176110062674,29.726408664604747,0.5489558135916652,0.004422320984303951,1.7904682490043342,,1.7904682490043342,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0013,cross,2.135979377991264,28.366269893422427,0.4071602457686482,0.005656857043504715,3.0388723330106586,,3.0388723330106586,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0014,cross,1.1366471157315456,27.147267699130563,0.5337046587545855,0.005933031905442476,1.2213245672173798,,1.2213245672173798,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0000,L-shape,1.5168838430550573,24.362650994059862,0.29171501224056257,0.01087245810776949,1.5286046951077878,,1.5286046951077878,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0001,L-shape,1.7074030056220153,25.3400933085701,0.3726218723162974,0.007571162655949593,2.510423911968246,,2.510423911968246,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0002,L-shape,1.7011113524257173,24.973593466109783,0.328964925742598,0.009656105190515518,1.4430967310909182,,1.4430967310909182,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0003,L-shape,1.5207918095286117,25.66760104641981,0.364120384138308,0.008336242288351059,1.6327139809727669,,1.6327139809727669,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0004,L-shape,1.9825556767053385,22.808130918686697,0.1966248808446626,0.014524743892252445,4.089104274054989,,4.089104274054989,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0005,L-shape,1.8912296793150527,24.372276796268192,0.29942747440019146,0.00998105388134718,1.436398653080687,,1.436398653080687,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
