variant,seed,bin,n,NMSE,MAE,SSIM
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,medium,100,0.9964148532511176,0.8312530952692032,0.7251313207314241
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,small,100,0.9955598162045617,0.8291441893577576,0.7060611138372671
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,large,100,0.9813215520899117,0.8314858681023723,0.7226769699744606
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,medium,100,0.9794144834998462,0.8239152777194977,0.72989526787102
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,small,100,0.980200614826539,0.8226832097768784,0.7107382977526957
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,large,100,0.48788572651588374,0.5565691393132162,0.8583605111756808
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,medium,100,0.45633368531568813,0.5291450279951095,0.8714305887571594
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,small,100,0.38832264246967974,0.47768763355910776,0.8831396433508256
P04_generic_film_scalar_Pcyc,0,large,100,0.9953434572657509,0.8373769726416077,0.7189700094514913
P04_generic_film_scalar_Pcyc,0,medium,100,0.9946352122801096,0.8304698830842971,0.7255681151622744
P04_generic_film_scalar_Pcyc,0,small,100,0.9940460106071601,0.8284397232532501,0.7064186897279692
P04_generic_film_scalar_Pcyc,1,large,100,0.9793511154298729,0.830399872678699,0.7235607467418932
P04_generic_film_scalar_Pcyc,1,medium,100,0.9747514649856853,0.8219550257921219,0.7311099988443576
P04_generic_film_scalar_Pcyc,1,small,100,0.9755695559079346,0.8205180370807648,0.7126876622907135
P04_generic_film_scalar_Pcyc,2,large,100,0.9797819590271993,0.8304234159113181,0.7238167273181874
P04_generic_film_scalar_Pcyc,2,medium,100,0.9763523264827163,0.8226059782505035,0.7310681077523157
P04_generic_film_scalar_Pcyc,2,small,100,0.9728764628901808,0.8193726974725724,0.7133067583404088
P05_generic_film_sincos_Pcyc,0,large,100,0.9881569723496758,0.8343077121358929,0.7208000521659805
P05_generic_film_sincos_Pcyc,0,medium,100,0.9859146959199898,0.8267968809604644,0.7278162033440231
P05_generic_film_sincos_Pcyc,0,small,100,0.9866573285011933,0.825331500172615,0.7087259407562967
P05_generic_film_sincos_Pcyc,1,large,100,0.9899070565546334,0.8350668019718595,0.7204767839115149
P05_generic_film_sincos_Pcyc,1,medium,100,0.9871430471916445,0.8273649406433106,0.7276337052538392
P05_generic_film_sincos_Pcyc,1,small,100,0.9878694285605109,0.8259405535459519,0.708422310395914
P05_generic_film_sincos_Pcyc,2,large,100,0.9824579148310579,0.8318576668248032,0.7224428473320625
P05_generic_film_sincos_Pcyc,2,medium,100,0.9811662284041582,0.8248546463251114,0.7292820706251207
P05_generic_film_sincos_Pcyc,2,small,100,0.9785989512666778,0.8219678354263306,0.7110302440419806
P06_concat_scalar_plus_sincos_Pcyc,0,large,100,0.9866591046247352,0.833614443287705,0.7211766918670142
P06_concat_scalar_plus_sincos_Pcyc,0,medium,100,0.9842201466277745,0.8260747849941253,0.7282404500523971
P06_concat_scalar_plus_sincos_Pcyc,0,small,100,0.9843074075454608,0.8243767762184143,0.7093542599536643
P06_concat_scalar_plus_sincos_Pcyc,1,large,100,0.9047751654303375,0.7948747837182247,0.7413192853348046
P06_concat_scalar_plus_sincos_Pcyc,1,medium,100,0.8859580805033231,0.7792810970544815,0.752268101381184
P06_concat_scalar_plus_sincos_Pcyc,1,small,100,0.8288123440934588,0.7466334074735641,0.7515405543263693
P06_concat_scalar_plus_sincos_Pcyc,2,large,100,0.72418798195487,0.6974797926165841,0.7897321581880719
P06_concat_scalar_plus_sincos_Pcyc,2,medium,100,0.689701149712275,0.6725477650761604,0.8048860740162663
P06_concat_scalar_plus_sincos_Pcyc,2,small,100,0.6119661432665026,0.6204843193292617,0.8149224364990456
