variant,seed,family,n,NMSE,PSNR,SSIM
P02_rsbfilm_sincos_Pcyc,0,small_rect_edge,10,1.0138097890347417,29.5296298088684,0.4495625710267689
P02_rsbfilm_sincos_Pcyc,1,L-shape,20,0.9975700594712599,28.30381684782655,0.37401582399265443
P02_rsbfilm_sincos_Pcyc,1,cross,15,0.9979817512917625,29.98216032049653,0.4687577086192431
P02_rsbfilm_sincos_Pcyc,1,double-line,15,0.998841263749998,27.403512081800944,0.3251803810130536
P02_rsbfilm_sincos_Pcyc,1,line,20,1.0003753520479806,30.66780091023396,0.5067679018708239
P02_rsbfilm_sincos_Pcyc,1,point_cluster,20,1.0038697668177368,33.976761916213796,0.6989919161255602
P02_rsbfilm_sincos_Pcyc,1,small_rect_edge,10,0.9988849197469083,29.593987400317836,0.4483983253436296
P02_rsbfilm_sincos_Pcyc,2,L-shape,20,0.9910938240424402,28.332138895752614,0.3793992641703443
P02_rsbfilm_sincos_Pcyc,2,cross,15,0.992927441304224,30.004228546735924,0.47283845455217033
P02_rsbfilm_sincos_Pcyc,2,double-line,15,0.9925983463248416,27.430788551171783,0.3308442220831252
P02_rsbfilm_sincos_Pcyc,2,line,20,0.9931072139514802,30.699338531816494,0.5105082942176226
P02_rsbfilm_sincos_Pcyc,2,point_cluster,20,0.9991055387127318,33.9974082790578,0.7010184901122637
P02_rsbfilm_sincos_Pcyc,2,small_rect_edge,10,0.9956236626299793,29.608237824598223,0.4517205691536274
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,L-shape,20,0.9965493478170254,28.308265318214193,0.37425900677437085
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,cross,15,0.9965174131345088,29.988538488521396,0.4691981873835535
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,double-line,15,0.9970037272857148,27.411499155677923,0.32573796153376566
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,line,20,0.9974957044621583,30.68014311278144,0.5073160652079931
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,point_cluster,20,0.9988301363879313,33.99843006041259,0.6997998981349143
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,small_rect_edge,10,0.9977701892023593,29.59879737308018,0.4482764844933169
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,L-shape,20,0.9869814683682053,28.350209659443152,0.3873191959779903
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,cross,15,0.9910205698679754,30.01266964853277,0.4791601793070005
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,double-line,15,0.9878231349170654,27.45174194813795,0.3401863233747192
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,line,20,0.9929513495036655,30.700381428426272,0.515150777581476
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,point_cluster,20,1.0200778693419228,33.908578302541514,0.6982162151698822
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,small_rect_edge,10,0.9981023152405152,29.597417142079156,0.45456377581005103
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,L-shape,20,3.324522213245159,23.588663313627144,0.1840492080186213
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,cross,15,5.301566518630753,23.539248328139696,0.1834622703783315
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,double-line,15,3.1559977381344697,23.364187262228665,0.20354141739541623
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,line,20,5.2078140789967495,24.542166274729503,0.22303333625536212
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,point_cluster,20,13.031945163115864,23.58982889293333,0.1337395115506699
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,small_rect_edge,10,4.158361372678346,24.174619547726365,0.18870786411284377
P04_generic_film_scalar_Pcyc,0,L-shape,20,0.9944072702066977,28.31761948991459,0.3778682293890304
P04_generic_film_scalar_Pcyc,0,cross,15,0.9955994187489641,29.992540743431302,0.471253741842718
P04_generic_film_scalar_Pcyc,0,double-line,15,0.9963985638339612,27.414133946452708,0.3285793147857076
P04_generic_film_scalar_Pcyc,0,line,20,0.9986048354605057,30.675333596624874,0.5085238816386116
P04_generic_film_scalar_Pcyc,0,point_cluster,20,1.00051437138145,33.99118631632282,0.7003418768192943
P04_generic_film_scalar_Pcyc,0,small_rect_edge,10,0.9956808028655241,29.607912521974594,0.45128561233850384
P04_generic_film_scalar_Pcyc,1,L-shape,20,0.9839880417663004,28.363444322998077,0.3911012652501729
P04_generic_film_scalar_Pcyc,1,cross,15,0.9845156348214521,30.04143918841034,0.48358984473045286
P04_generic_film_scalar_Pcyc,1,double-line,15,0.9846991752792268,27.465668449338114,0.34504144417075333
P04_generic_film_scalar_Pcyc,1,line,20,0.9883421693541334,30.720520826200925,0.5179083990769268
P04_generic_film_scalar_Pcyc,1,point_cluster,20,1.0150705193942635,33.929705810523004,0.698223485463538
P04_generic_film_scalar_Pcyc,1,small_rect_edge,10,0.9939850430771207,29.615536137318536,0.4582712184189431
P04_generic_film_scalar_Pcyc,2,L-shape,20,1.0021036436620636,28.284625482345668,0.38816425983002645
P04_generic_film_scalar_Pcyc,2,cross,15,1.0163278758920968,29.9043985114293,0.4765572125420317
P04_generic_film_scalar_Pcyc,2,double-line,15,1.0008144245962234,27.395710179564155,0.34414545724655593
P04_generic_film_scalar_Pcyc,2,line,20,1.0223859376570839,30.57601489793072,0.5109856273169369
P04_generic_film_scalar_Pcyc,2,point_cluster,20,1.10734389615387,33.561665330915986,0.6807498703321533
